rank,tic,rank_in_star,t0,duration_h,depth_ppm,snr,edge_dist_h,n_in,tmag,teff,radius,window_d,max_dur_h,long_limited,hf_variable,var_period_d,var_amp_ppm,sigma_pt_ppm,crowdsap,ra,dec,crowded_time_bin,common_mode,n_coincident,n_coincident_expected,partial,n_dips_star,toi_match,toi_host,category,candidate,rp_rjup,planet_sized,tier
1,230068527,1,1886.39,6,319624,2493.77,25.1634,12,10.3915,6258,2.34713,3,24,0,0,13.6147,1009.05,360.793,0.935348,242.798,68.0267,False,False,1,0.768959,False,1,,,single,True,12.9126,False,B
2,142413710,1,1883.42,12,399330,1934.59,13.3403,24,12.3201,5105,0.797476,3,24,0,0,8.02709,422.908,966.888,0.94632,199.739,62.6311,False,False,2,0.600163,False,1,,,single,True,4.90389,False,B
3,198382838,1,1874.89,6,163392,1933.52,101.667,12,9.94752,5180,1.32,3,24,0,0,13.6148,224.94,265.773,0.980488,257.532,58.4078,False,False,2,0.5,False,1,,,single,True,5.19214,False,B
4,458479571,1,1893.16,4,223387,1812.84,110.342,8,10.2527,5694,1.47981,3,24,0,0,13.646,656.63,281.907,0.996294,233.197,65.4074,False,False,2,1.16282,False,2,,,single,True,6.80601,False,B
5,441741188,1,1879.37,16,217872,1733.01,110.497,31,12.0489,5957,2.37191,3,24,0,0,13.5624,195.467,765.563,0.977794,260.007,76.9769,False,False,1,0.581408,False,1,,,single,True,10.7735,False,B
7,16220912,1,1887.96,6,266368,1420,24.6587,12,11.655,5552.53,1.1969,3,24,0,0,13.646,361.451,654.559,0.997656,153.515,36.5946,False,False,1,0.99402,False,1,,,single,True,6.01114,False,B
22,198211503,1,1885.89,8,129761,1129.5,12.6628,16,10.4527,6120,2.01147,3,24,0,0,5.6728,233.308,338.812,0.997501,248.157,65.769,False,False,1,0.712693,False,3,,,single,True,7.05088,False,B
47,9339921,1,1871.23,4,328589,850.515,5.66667,7,11.9674,6026.47,1.66026,0.75,6,1,0,3.68807,5004.53,921.269,0.977906,149.889,41.959,True,False,1,0.581408,False,1,,,single,True,9.26105,False,B
52,236764775,1,1876.39,4,289558,807.375,137.5,8,12.0715,5952,1.40879,3,24,0,0,9.0347,1538.5,847.004,0.982328,273.564,66.8869,False,False,3,0.768959,False,1,,,single,True,7.37686,False,B
62,318251984,1,1885.71,6,250147,747.362,12.1614,12,12.3623,4721.18,1.27828,3,24,0,0,11.3716,916.988,1000.25,0.98468,163.354,53.6413,False,False,0,0.5,False,1,,,single,True,6.22131,False,B
63,105513126,1,1875.98,8,130832,744.418,128.167,16,11.3628,6453.4,2.47888,3,24,0,0,13.6459,673.51,563.876,0.991838,152.642,45.3017,False,False,0,0.5,False,1,,,single,True,8.72508,False,B
96,328586949,1,1889.47,4,135538,685.439,64.0023,8,11.0344,6201.65,1.53652,3,24,0,0,13.4061,442.845,462.655,0.949098,143.142,56.1697,False,False,1,0.562653,False,2,,,single,True,5.5046,False,B
