rank,tic,rank_in_star,t0,duration_h,depth_ppm,snr,edge_dist_h,n_in,tmag,teff,radius,window_d,max_dur_h,long_limited,hf_variable,var_period_d,var_amp_ppm,sigma_pt_ppm,crowdsap,ra,dec,crowded_time_bin,common_mode,n_coincident,n_coincident_expected,partial,n_dips_star,toi_match,toi_host,category,candidate,rp_rjup,planet_sized,tier
1,230068527,1,1886.39,6,319624,2493.77,25.1634,12,10.3915,6258,2.34713,3,24,0,0,13.6147,1009.05,360.793,0.935348,242.798,68.0267,False,False,1,0.768959,False,1,,,single,True,12.9126,False,B
2,142413710,1,1883.42,12,399330,1934.59,13.3403,24,12.3201,5105,0.797476,3,24,0,0,8.02709,422.908,966.888,0.94632,199.739,62.6311,False,False,2,0.600163,False,1,,,single,True,4.90389,False,B
3,198382838,1,1874.89,6,163392,1933.52,101.667,12,9.94752,5180,1.32,3,24,0,0,13.6148,224.94,265.773,0.980488,257.532,58.4078,False,False,2,0.5,False,1,,,single,True,5.19214,False,B
4,458479571,1,1893.16,4,223387,1812.84,110.342,8,10.2527,5694,1.47981,3,24,0,0,13.646,656.63,281.907,0.996294,233.197,65.4074,False,False,2,1.16282,False,2,,,single,True,6.80601,False,B
5,441741188,1,1879.37,16,217872,1733.01,110.497,31,12.0489,5957,2.37191,3,24,0,0,13.5624,195.467,765.563,0.977794,260.007,76.9769,False,False,1,0.581408,False,1,,,single,True,10.7735,False,B
6,198239685,1,1883.21,6,267459,1435.5,18.3393,12,11.2781,5986,1.63089,3,24,0,0,9.68767,1570.23,533.736,0.950663,249.231,60.3969,False,False,0,0.5,False,2,,,repeating,False,8.2075,False,
7,16220912,1,1887.96,6,266368,1420,24.6587,12,11.655,5552.53,1.1969,3,24,0,0,13.646,361.451,654.559,0.997656,153.515,36.5946,False,False,1,0.99402,False,1,,,single,True,6.01114,False,B
8,229404545,1,1897.41,4,261052,1392.59,8.49292,8,10.8656,6763,2.4457,3,24,0,0,13.4894,571.628,445.599,0.964105,292.74,63.1008,False,False,2,0.99402,False,5,,,repeating,False,12.1597,False,
9,229404545,2,1883.74,4,256461,1368.1,5.49603,8,10.8656,6763,2.4457,3,24,0,0,13.4894,571.628,445.599,0.964105,292.74,63.1008,True,False,4,0.99402,False,5,,,repeating,False,12.0523,False,
10,198239685,2,1893.16,6,250464,1344.29,110.345,12,11.2781,5986,1.63089,3,24,0,0,9.68767,1570.23,533.736,0.950663,249.231,60.3969,False,False,0,0.5,False,2,,,repeating,False,7.94246,False,
11,236771723,1,1881.45,4,320397,1312.93,60.4977,8,11.3936,6495,1.85245,3,24,0,0,13.4895,336.56,554.165,0.994228,274.325,71.1467,False,False,1,1.57543,False,2,,,repeating,False,10.2035,False,
12,229404545,3,1890.59,4,237899,1269.08,122.504,8,10.8656,6763,2.4457,3,24,0,0,13.4894,571.628,445.599,0.964105,292.74,63.1008,False,False,0,0.99402,False,5,,,repeating,False,11.608,False,
