tic,trial,t0,depth_ppm,duration_h,expected_snr,expected_snr_white,window_d,max_dur_h,long_limited,hf_variable,recovered,top_ranked,det_t0,det_depth_ppm,det_duration_h,measured_snr
1042983,0,1873.33,2800.38,4,7.54657,9.55067,3,24,0,0,1,1,1873.34,2796.42,3,7.22608
1042983,1,1876.08,2054.66,2,4.14601,4.955,3,24,0,0,0,0,,,,3.48537
1042983,2,1876.62,6663,8,27.3115,32.1368,3,24,0,0,1,1,1876.61,5647.06,8,25.2862
1042983,3,1887,3316.05,16,21.8835,22.6187,3,24,0,0,1,1,1887.17,2454.12,6,9.17247
1042983,4,1873.31,4383.47,4,11.8127,14.9498,3,24,0,0,1,1,1873.31,3655.55,4,10.6705
1042983,5,1883.7,3858.9,1,6.02185,6.58037,3,24,0,0,0,0,,,,4.10372
1042983,6,1888.54,2246.14,1,3.50513,3.83023,3,24,0,0,0,0,,,,2.22126
1042983,7,1877.33,5950.67,2,12.0076,14.3505,3,24,0,0,1,1,1877.32,5596.71,1.5,11.1972
1042983,8,1894.06,1864.13,4,5.02352,6.35759,3,24,0,0,0,0,,,,4.00029
1042983,9,1881.47,867.252,16,5.72322,5.91551,3,24,0,0,0,0,,,,4.15727
1042983,10,1897.33,1398.09,4,3.76762,4.76817,3,24,0,0,0,0,,,,4.19631
1042983,11,1876.08,1106.57,16,7.30252,7.54788,3,24,0,0,0,0,,,,5.09696
1042983,12,1894.85,8127.17,4,21.9014,27.7177,3,24,0,0,1,1,1894.86,8842.38,3,23.2518
1042983,13,1876.83,977.417,24,8.014,8.16532,3,24,0,0,0,0,,,,6.01647
1042983,14,1896.43,871.929,8,3.57401,4.20546,3,24,0,0,0,0,,,,4.06423
1042983,15,1876.06,27604.8,1,43.0776,47.0731,3,24,0,0,1,1,1876.04,14290,1,24.6564
1042983,16,1887.97,6124.65,2,12.3586,14.7701,3,24,0,0,1,1,1887.97,6970.42,1.5,13.9968
1042983,17,1894.16,5323.69,8,21.8217,25.6771,3,24,0,0,1,1,1894.17,4664.73,8,21.0839
1042983,18,1887.89,13736.4,2,27.718,33.1265,3,24,0,0,1,1,1887.88,13838,1.5,27.6476
1042983,19,1887.95,1677.37,2,3.38468,4.04511,3,24,0,0,0,0,,,,4.94084
3716195,0,1873.22,29887.2,1,44.3394,48.6051,3,24,0,0,1,1,1873.23,15479.7,1,25.4674
3716195,1,1895.89,4069.63,8,17.3112,18.7196,3,24,0,0,1,1,1895.89,3922.43,6,16.5114
3716195,2,1876.39,2746.53,2,5.39813,6.31679,3,24,0,0,0,0,,,,5.84199
3716195,3,1879.95,11709.4,1,17.3716,19.0428,3,24,0,0,1,1,1879.93,6051.46,1,9.94495
3716195,4,1881.87,2681.25,16,16.6517,17.4419,3,24,0,0,1,1,1881.87,2800.09,12,17.0855
3716195,5,1889.6,19809.8,1,29.3889,32.2163,3,24,0,0,1,1,1889.58,10675.8,1,17.5444
3716195,6,1897.08,765.01,8,3.25416,3.51891,3,24,0,0,0,0,,,,3.20535
3716195,7,1889.75,719.766,16,4.47006,4.68218,3,24,0,0,0,0,,,,4.3298
3716195,8,1879.22,971.704,16,6.0347,6.32106,3,24,0,0,0,0,,,,3.7712
3716195,9,1878.97,32869.6,1,48.7639,53.4553,3,24,0,0,1,1,1878.95,16463.1,1,27.0549
3716195,10,1892.04,18256.5,1,27.0846,29.6902,3,24,0,0,1,1,1892.02,9350.36,1,15.3305
3716195,11,1878.56,12752.8,1,18.9194,20.7396,3,24,0,0,1,1,1878.54,6814.21,1,11.2117
3716195,12,1897.35,2522.47,8,10.7299,11.6029,3,24,0,0,1,1,1897.33,2530.87,8,11.5726
3716195,13,1872.37,5442.94,4,16.1154,17.7035,3,24,0,0,1,1,1872.38,4309.32,4,14.3672
3716195,14,1897.62,1303.27,24,9.24225,10.3833,3,24,0,0,0,0,,,,4.97921
3716195,15,1889.66,2583.5,1,3.83277,4.2015,3,24,0,0,0,0,,,,2.52669
3716195,16,1877.89,8662.49,16,53.7978,56.3507,3,24,0,0,1,1,1877.92,9207.49,12,55.8711
3716195,17,1895,4734.94,1,7.02456,7.70036,3,24,0,0,0,0,,,,3.65812
3716195,18,1881.06,1546.67,2,3.03988,3.55721,3,24,0,0,0,0,,,,1.34003
3716195,19,1873.72,5762.8,16,35.7894,37.4878,3,24,0,0,1,1,1873.71,5193.4,16,33.262
3908570,0,1896.45,3784.94,8,8.11693,8.43032,3,24,0,0,0,0,,,,6.92248
3908570,1,1894.02,20132,4,29.9773,31.7071,3,24,0,0,1,1,1894.02,16330.8,4,27.1286
3908570,2,1871,3218.64,24,13.3222,12.417,3,24,0,0,0,0,,,,6.40073
3908570,3,1871.45,4385.77,8,9.40542,9.76857,3,24,0,0,1,1,1871.42,4284.43,8,9.6489
3908570,4,1873.18,6627.6,1,4.62794,5.21911,3,24,0,0,0,0,,,,2.71049
3908570,5,1894.97,11702.4,8,25.0962,26.0652,3,24,0,0,1,1,1894.98,10475.3,8,23.9456
3908570,6,1881.08,50000,1,34.9142,39.3741,3,24,0,0,1,1,1881.09,25355.7,1,19.5457
3908570,7,1887.7,4860.97,16,14.651,15.3117,3,24,0,0,1,1,1887.67,4527.22,16,14.0483
3908570,8,1880.35,14522.1,8,31.143,32.3455,3,24,0,0,1,1,1880.36,12333.6,8,29.1882
3908570,9,1891.08,3103.78,16,9.35482,9.77666,3,24,0,0,0,0,,,,6.67947
3908570,10,1882.39,1795.17,8,3.84981,3.99845,3,24,0,0,0,0,,,,2.7491
3908570,11,1871.04,8277.56,24,34.2614,31.9336,3,24,0,0,1,1,1871.29,8424.38,8,19.1398
3908570,12,1888.97,4805.06,8,10.3046,10.7025,3,24,0,0,1,1,1888.98,4851.2,8,11.1376
3908570,13,1888.62,10125.1,1,7.07017,7.9733,3,24,0,0,0,0,,,,2.54249
3908570,14,1888.1,13819.9,1,9.65021,10.8829,3,24,0,0,0,0,,,,4.91448
3908570,15,1883.58,3139.12,24,12.9931,12.1103,3,24,0,0,0,0,,,,4.87444
3908570,16,1889.68,50000,1,34.9142,39.3741,3,24,0,0,1,1,1889.67,25355.2,1,19.5551
3908570,17,1889.58,38177,2,39.3436,42.5164,3,24,0,0,1,1,1889.57,39272.1,1.5,37.9523
3908570,18,1894.16,9546.98,1,6.6665,7.51807,3,24,0,0,0,0,,,,3.91769
3908570,19,1888.68,8700.75,4,12.9557,13.7034,3,24,0,0,1,1,1888.69,6857.5,4,11.2835
4843442,0,1897.12,3102.89,16,16.4161,17.5574,3,24,0,0,1,1,1897.09,2681.96,12,14.2041
4843442,1,1887.31,1543.73,24,9.51631,10.6983,3,24,0,0,0,0,,,,5.16972
4843442,2,1873.31,5602.55,8,21.8871,22.4164,3,24,0,0,1,1,1873.31,5061.32,8,20.5592
4843442,3,1871.93,2640.82,16,13.9715,14.9429,3,24,0,0,1,1,1871.96,2525.1,12,12.698
4843442,4,1880.89,2067.83,16,10.94,11.7007,3,24,0,0,1,1,1880.88,2545.37,12,12.9127
4843442,5,1891.66,789.591,16,4.17739,4.46783,3,24,0,0,0,0,,,,4.18929
4843442,6,1890.95,2299.89,2,4.18751,4.60106,3,24,0,0,0,0,,,,3.78586
4843442,7,1895.2,29316.7,2,53.3782,58.6496,3,24,0,0,1,1,1895.2,30325.4,1.5,54.2283
4843442,8,1888.35,1252.15,8,4.89171,5.01,3,24,0,0,0,0,,,,4.5565
4843442,9,1880,7957.3,1,10.7101,11.2564,3,24,0,0,0,0,,,,6.1615
4843442,10,1880.77,41024.5,1,55.2169,58.0334,3,24,0,0,1,1,1880.77,21516.5,1,32.3564
4843442,11,1877,597.8,16,3.1627,3.3826,3,24,0,0,0,0,,,,1.95278
4843442,12,1887.08,3217.77,24,19.8359,22.2995,3,24,0,0,1,1,1887.25,3734.92,8,15.4669
4843442,13,1896.12,794.49,16,4.20331,4.49555,3,24,0,0,0,0,,,,5.1404
4843442,14,1880.43,1487.05,24,9.1669,10.3054,3,24,0,0,0,0,,,,6.78831
4843442,15,1878.68,12368.6,1,16.6475,17.4967,3,24,0,0,1,1,1878.67,6063,1,9.05384
4843442,16,1893.85,9544.07,2,17.3773,19.0934,3,24,0,0,1,1,1893.84,10107.1,1.5,18.042
4843442,17,1876.89,4668.79,1,6.28395,6.60449,3,24,0,0,0,0,,,,3.75297
4843442,18,1873.97,771.622,16,4.08232,4.36616,3,24,0,0,0,0,,,,4.06892
4843442,19,1879.68,1169.86,4,3.0147,3.30978,3,24,0,0,0,0,,,,3.43563
4893189,0,1878.68,3438.57,4,9.25846,9.7569,3,24,0,0,1,1,1878.67,2727.08,3,7.07156
4893189,1,1872.58,7706.61,16,53.2827,43.7349,3,24,0,0,1,1,1872.56,6999.02,16,49.9633
4893189,2,1878.43,9054.23,2,17.4832,18.1665,3,24,0,0,1,1,1878.43,8879.47,1.5,16.4724
4893189,3,1890.18,674.631,24,5.43541,4.68896,3,24,0,0,0,0,,,,3.42937
4893189,4,1894.25,9810.67,8,40.4793,39.3684,3,24,0,0,1,1,1894.23,8762.5,8,38.3762
4893189,5,1883.35,4311.08,2,8.32446,8.6498,3,24,0,0,0,0,,,,6.32227
4893189,6,1892.27,825.224,8,3.40492,3.31147,3,24,0,0,0,0,,,,2.77237
4893189,7,1876.68,1014.59,24,8.17438,7.05178,3,24,0,0,1,1,1876.73,1101.29,24,9.50207
4893189,8,1882.04,21361.8,1,29.6708,30.307,3,24,0,0,1,1,1882.02,10847.5,1,16.578
4893189,9,1889.35,3723.08,16,25.741,21.1284,3,24,0,0,1,1,1889.31,3730.75,12,22.8514
4893189,10,1895.58,1301.77,4,3.50507,3.69377,3,24,0,0,0,0,,,,4.35483
4893189,11,1874.89,1239.89,24,9.98959,8.6177,3,24,0,0,0,0,,,,6.26364
4893189,12,1895.22,8214.14,2,15.861,16.4809,3,24,0,0,1,1,1895.22,8667.56,1.5,16.1062
4893189,13,1887.08,4415.94,8,18.2204,17.7204,3,24,0,0,1,1,1887.13,3426.29,4,10.1455
4893189,14,1878.04,5187.88,8,21.4055,20.818,3,24,0,0,1,1,1878.04,4894.88,8,21.8142
4893189,15,1890.5,4041.6,24,32.5626,28.0907,3,24,0,0,1,1,1890.5,3612.56,24,25.5117
4893189,16,1889.08,2703.32,8,11.1541,10.848,3,24,0,0,1,1,1889.09,2588.92,8,11.7466
4893189,17,1888.04,815.006,8,3.36276,3.27047,3,24,0,0,0,0,,,,4.01251
4893189,18,1879.06,19903,1,27.6445,28.2373,3,24,0,0,1,1,1879.04,10799.6,1,16.7104
4893189,19,1895.91,4268.56,1,5.92887,6.05601,3,24,0,0,0,0,,,,2.6716
4896021,0,1888.04,2419.31,16,22.854,24.0539,3,24,0,0,1,1,1888,2370.81,12,21.6511
4896021,1,1879.66,1001.8,24,11.9947,12.1989,3,24,0,0,0,0,,,,6.29984
4896021,2,1874.14,3275.35,16,30.9407,32.5651,3,24,0,0,1,1,1874.15,3340.56,12,30.427
4896021,3,1881.29,2439.85,2,8.48953,8.57656,3,24,0,0,1,1,1881.28,2480.41,1.5,8.30395
4896021,4,1877.14,5555.97,8,38.47,39.0606,3,24,0,0,1,1,1877.15,5524.1,6,36.9972
4896021,5,1897.7,538.008,8,3.72521,3.7824,3,24,0,0,0,0,,,,2.19753
4896021,6,1878.27,1223.87,24,14.6536,14.9031,3,24,0,0,1,1,1878.23,1176.35,24,14.4411
4896021,7,1889.16,7627.75,4,39.7822,37.9193,3,24,0,0,1,1,1889.17,6749.61,4,38.2944
4896021,8,1897.31,1938.82,24,23.2138,23.609,3,24,0,0,1,1,1897.27,1673.43,12,16.0264
4896021,9,1896.1,989.769,4,5.1621,4.92038,3,24,0,0,0,0,,,,6.42222
4896021,10,1891.58,640.93,16,6.05455,6.37243,3,24,0,0,0,0,,,,5.87477
4896021,11,1891.89,321.466,24,3.84897,3.91449,3,24,0,0,0,0,,,,4.26392
4896021,12,1879.7,6954.33,4,36.27,34.5716,3,24,0,0,1,1,1879.71,5985.64,4,34.1159
4896021,13,1880.56,1137.54,4,5.93276,5.65495,3,24,0,0,0,0,,,,5.43199
4896021,14,1881.37,3221.34,4,16.8008,16.014,3,24,0,0,1,1,1881.36,2476.75,4,14.3544
4896021,15,1872.35,722.922,4,3.77037,3.59382,3,24,0,0,0,0,,,,3.43209
4896021,16,1871.37,2460.93,24,29.4652,29.9667,3,24,0,0,1,1,1871.46,2461.79,16,23.703
4896021,17,1878.27,3613.92,24,43.2701,44.0067,3,24,0,0,1,1,1878.23,3315.22,24,40.4763
4896021,18,1874.06,1696.21,8,11.7447,11.925,3,24,0,0,1,1,1874.04,1536.11,8,11.3494
4896021,19,1889.77,1287.99,8,8.91816,9.05507,3,24,0,0,1,1,1889.77,1157.95,6,7.74539
