toi,tic,disp,period_d,depth_ppm,dur_h,n_pred,recovered,category,snr
1131.01,198213332,PC,0.586037,410.524,0.809893,42,False,,
1167.01,232967666,FP,15.196,1970,1.792,2,True,single,8.87954
1173.01,232967440,CP,7.0644,8268,2.424,4,True,repeating,35.1271
1174.01,154089169,CP,8.95348,1136,2.696,3,False,,
1176.01,230088370,PC,14.0078,5924.83,5.87275,2,True,repeating,21.084
1178.01,359496368,FP,2.6652,819,3.49,9,False,,
1179.01,148914726,APC,1.26153,2841,1.039,19,False,,
1180.01,158002130,CP,9.68675,1669,2.512,2,True,repeating,11.0299
1181.01,229510866,CP,2.10316,7142,5.059,12,True,repeating,25.3743
1183.01,258777137,FP,5.92941,10226,2.933,4,True,repeating,21.2015
1184.01,233087860,CP,5.74844,1041,1.76,5,False,,
1186.01,289539327,FP,11.2465,7576,7.391,3,True,repeating,54.0143
1187.01,372757221,PC,2.5942,907,0.861,10,False,,
1190.01,287196418,APC,3.69498,7178.69,4.42931,6,True,repeating,17.5635
1194.01,147950620,CP,2.31064,6911,1.294,12,True,repeating,24.6395
1199.01,99869022,CP,3.67147,4340,2.149,6,True,repeating,20.8145
1136.01,142276270,CP,12.5187,2320,5.38,2,False,,
1136.02,142276270,CP,6.25861,813,3.201,4,False,,
1136.03,142276270,CP,26.3209,800,4.414,1,False,,
1136.04,142276270,CP,18.7955,470.673,4.34256,1,False,,
1141.01,159510109,FP,16.9487,156468,4.28878,1,True,single,142.951
1143.01,160268701,FP,11.2072,3276,4.366,2,True,repeating,31.1725
1147.01,288391628,FP,10.9278,2743,2.468,2,True,repeating,23.3982
1148.01,349827430,KP,5.55149,9493,4.335,4,True,repeating,42.4443
1154.01,459970307,CP,21.7455,659,4.196,1,False,,
1157.01,147576037,FP,13.0727,4080,3.044,1,False,,
1165.01,458478250,KP,2.25528,20820,2.05,11,True,repeating,90.5524
1200.01,288185138,FP,0.835241,2065,1.043,29,False,,
1235.01,103633434,CP,3.4447,796,1.912,8,False,,
1259.01,288735205,CP,3.47798,27021.7,2.51035,6,True,repeating,52.8051
1260.01,355867695,CP,3.12746,1331.84,1.98127,8,False,,
1260.02,355867695,CP,7.49316,1650.65,1.93393,4,True,single,9.93689
1260.03,355867695,CP,49.8252,2059.41,3.8715,1,False,,
1261.01,356311210,PC,18.0574,1198.06,3.59218,1,False,,
1262.01,365938305,CP,20.8774,771,3.562,1,False,,
1266.01,467179528,CP,10.8948,3168.39,2.07194,2,True,repeating,11.3847
1266.02,467179528,CP,18.8016,1686.79,1.90935,2,False,,
1268.01,142394656,CP,8.15772,10273,3.788,3,True,repeating,12.8538
1269.01,198241702,CP,4.25296,758.585,2.57339,6,False,,
1269.02,198241702,PC,9.23787,660,2.535,2,False,,
1270.01,237200747,FP,14.3035,48840,3.135,2,False,,
1274.01,459969957,PC,19.3203,13910,4.215,1,True,single,39.2474
1277.02,153949511,PC,14.856,1127,3.711,2,False,,
1279.01,224297258,CP,9.61416,933.653,3.42719,3,False,,
1280.01,230017324,PC,9.69264,1838.24,3.01823,2,False,,
1238.01,153951307,CP,3.29477,1324.04,1.74831,7,False,,
1238.02,153951307,CP,0.764581,394.983,1.07057,33,False,,
1242.01,198212955,PC,0.381485,570,0.565,65,False,,
1244.01,219850915,CP,6.40028,1026.6,2.15599,4,False,,
1245.01,229781583,CP,4.82045,1930,1.756,6,False,,
1246.01,230127302,CP,18.6549,1495.44,5.44315,2,True,repeating,7.18217
1246.02,230127302,CP,4.30745,1094.84,2.33792,5,False,,
1246.03,230127302,CP,5.90413,773.927,2.76783,4,False,,
1246.04,230127302,CP,37.9252,1370.79,3.53452,1,True,repeating,9.03248
1247.01,232540264,CP,15.9235,493,4.021,2,True,single,7.91446
1248.01,232612416,CP,4.36015,5592.29,2.34089,6,True,repeating,21.368
1249.01,232976128,CP,13.0792,1143,2.97,2,False,,
1250.01,233059608,FA,1.4415,547.317,0.927452,17,False,,
