tmag_bin,duration_h,depth_lo,n,frac
"(0, 10]",1,316,3,0
"(0, 10]",1,562,3,0.3333
"(0, 10]",1,1000,7,0.4286
"(0, 10]",1,1778,7,0.8571
"(0, 10]",1,3162,8,0.75
"(0, 10]",1,5623,6,1
"(0, 10]",1,1e+04,3,1
"(0, 10]",2,100,1,0
"(0, 10]",2,316,2,0.5
"(0, 10]",2,562,4,0.5
"(0, 10]",2,1000,6,0.6667
"(0, 10]",2,1778,5,1
"(0, 10]",2,3162,9,1
"(0, 10]",2,5623,2,1
"(0, 10]",2,1e+04,1,1
"(0, 10]",4,100,3,0
"(0, 10]",4,316,1,0
"(0, 10]",4,562,9,0.5556
"(0, 10]",4,1000,3,0.6667
"(0, 10]",4,1778,8,0.875
"(0, 10]",4,3162,3,1
"(0, 10]",4,5623,3,1
"(0, 10]",4,1e+04,3,1
"(0, 10]",8,100,2,0
"(0, 10]",8,316,2,1
"(0, 10]",8,562,4,0.75
"(0, 10]",8,1000,13,0.6154
"(0, 10]",8,1778,10,0.9
"(0, 10]",8,3162,7,1
"(0, 10]",8,5623,4,1
"(0, 10]",8,1e+04,6,1
"(0, 10]",16,100,5,0
"(0, 10]",16,316,6,0.5
"(0, 10]",16,562,5,1
"(0, 10]",16,1000,3,0.3333
"(0, 10]",16,1778,3,1
"(0, 10]",16,3162,2,1
"(0, 10]",16,5623,2,1
"(0, 10]",24,100,4,0
"(0, 10]",24,316,3,0.3333
"(0, 10]",24,562,4,0.5
"(0, 10]",24,1000,6,0.8333
"(0, 10]",24,1778,5,0.8
"(0, 10]",24,3162,1,1
"(0, 10]",24,5623,1,1
"(0, 10]",24,1e+04,2,1
"(10, 11]",1,562,1,0
"(10, 11]",1,1000,12,0.08333
"(10, 11]",1,1778,18,0.6111
"(10, 11]",1,3162,17,1
"(10, 11]",1,5623,14,1
"(10, 11]",1,1e+04,16,1
"(10, 11]",2,562,8,0
"(10, 11]",2,1000,17,0.4118
"(10, 11]",2,1778,19,0.9474
"(10, 11]",2,3162,16,1
"(10, 11]",2,5623,16,1
"(10, 11]",2,1e+04,5,1
"(10, 11]",4,316,5,0
"(10, 11]",4,562,18,0.05556
"(10, 11]",4,1000,13,0.7692
"(10, 11]",4,1778,12,1
"(10, 11]",4,3162,22,1
"(10, 11]",4,5623,16,1
"(10, 11]",4,1e+04,2,1
"(10, 11]",8,100,1,0
"(10, 11]",8,316,10,0
"(10, 11]",8,562,16,0.125
"(10, 11]",8,1000,18,0.8889
"(10, 11]",8,1778,19,1
"(10, 11]",8,3162,10,1
"(10, 11]",8,5623,7,1
"(10, 11]",8,1e+04,2,1
"(10, 11]",16,100,5,0
"(10, 11]",16,316,12,0
"(10, 11]",16,562,18,0.5
"(10, 11]",16,1000,14,1
"(10, 11]",16,1778,17,0.9412
"(10, 11]",16,3162,5,1
"(10, 11]",16,5623,2,1
"(10, 11]",24,100,15,0
"(10, 11]",24,316,16,0.0625
"(10, 11]",24,562,23,0.2174
"(10, 11]",24,1000,17,0.7059
"(10, 11]",24,1778,17,1
"(10, 11]",24,3162,8,1
"(10, 11]",24,5623,1,1
"(11, 12]",1,1000,12,0
"(11, 12]",1,1778,24,0.04167
"(11, 12]",1,3162,29,0.6552
"(11, 12]",1,5623,27,1
"(11, 12]",1,1e+04,62,0.9677
"(11, 12]",1,3.162e+04,1,1
"(11, 12]",2,562,4,0
"(11, 12]",2,1000,23,0.08696
"(11, 12]",2,1778,34,0.3235
"(11, 12]",2,3162,41,0.9512
"(11, 12]",2,5623,33,0.9697
"(11, 12]",2,1e+04,46,1
"(11, 12]",2,3.162e+04,1,1
"(11, 12]",4,562,14,0
"(11, 12]",4,1000,31,0.2581
"(11, 12]",4,1778,36,0.7222
"(11, 12]",4,3162,26,1
"(11, 12]",4,5623,35,1
"(11, 12]",4,1e+04,33,1
"(11, 12]",8,316,1,0
"(11, 12]",8,562,20,0.1
"(11, 12]",8,1000,28,0.3571
"(11, 12]",8,1778,30,0.9
"(11, 12]",8,3162,36,1
"(11, 12]",8,5623,28,1
"(11, 12]",8,1e+04,12,1
"(11, 12]",16,100,2,0
"(11, 12]",16,316,14,0.07143
"(11, 12]",16,562,27,0.07407
"(11, 12]",16,1000,32,0.5625
"(11, 12]",16,1778,40,0.925
"(11, 12]",16,3162,37,1
