shortlist_rank,tic,tier,tmag,rstar,fit_t0,fit_depth_ppm,fit_t14_h,fit_b,snr,dbic_alt,dbic_box,p_b0_d,fpp_value,nfpp_value,p_lo,p_hi,centroid_offset_px,n_unresolved,tois,ctois,new,review_notes
1,288676782,A,11.0087,1.99241,1877.2613,1425.4639,27.023248,0.094581085,9.71672,29.262486,-8.5925438,367.18334,-9.9920072e-15,1.2503375e-25,20.499979,367.18334,0.86613894,0,,,True,centroid offset 0.87 px at 19 sigma
2,82203007,A,5.0736,1.59832,1896.9332,1508.3272,17.767819,6.1809786e-05,11.9611,168.40661,4.1495522,358.11013,5.4611418e-08,0,26.4588,358.11013,0.79643711,0,,,True,centroid offset 0.80 px at 25 sigma
3,259132294,A,10.7839,1.94549,1876.3351,4070.5731,20.274391,2.7578303e-05,10.3444,21.099266,14.885746,193.34647,2.8655877e-06,1.7742215e-17,21.425364,193.34647,,0,,,True,difference image too faint for a centroid
4,24004731,B,10.2495,1.04498,1896.9448,2340.1831,17.894072,0.0016370358,10.0209,41.513871,-10.829437,773.34052,4.0758978e-06,1.9785087e-10,26.47138,773.34052,,0,,,True,difference image too faint for a centroid
5,310935032,B,10.5386,1.99655,1886.9013,1138.5427,34.828662,1.2522885,10.4011,12.67392,10.314902,389.97284,2.5825462e-05,0,16.407797,389.97284,0.85054988,0,,,True,very long dip: compare with stellar variability; grazing/V-shaped: EB-like geometry; centroid offset 0.85 px at 14 sigma
6,154939098,A,12.4025,0.865247,1872.5288,32502.319,3.9604666,0.8563954,53.2798,1214.9874,434.67703,9.6703744,0.0009829592,0,25.233418,37.850127,0.14695042,0,,,True,grazing/V-shaped: EB-like geometry; deep (>2 %): check for stellar companion
7,91844695,A,10.6579,0.86865,1882.9641,1284.9145,9.8107851,7.8179256e-06,10.139,20.37167,1.4317073,207.64798,0.0010602898,0,14.802189,207.64798,,0,,,True,difference image too faint for a centroid
8,361977189,B,9.5815,2.93387,1896.9115,1706.8685,19.033912,0.57728724,11.1596,154.13518,38.021385,71.159634,0.0026162459,0.0026162459,26.436993,71.159634,0.44869172,0,,,True,
9,458423861,A,12.8739,1.39644,1887.0422,3493.4992,12.478941,4.1149618e-05,11.6534,23.33407,-5.1881268,130.5394,0.0027803078,6.6947273e-05,16.381818,130.5394,0.21318654,1,,,True,neighbour inside the target pixel
10,230062978,A,12.8997,0.598956,1886.5496,2824.417,17.817856,0.88408478,9.20511,11.26608,-3.4739724,2187.4852,0.0033537614,8.9007947e-07,16.079207,2187.4852,0.57641898,1,,,True,neighbour inside the target pixel
11,285082902,A,11.9587,1.14366,1887.4946,2043.1175,15.748673,2.0764956e-10,11.0363,12.467531,-1.9818621,386.94369,0.0050892102,5.4965772e-05,16.790827,386.94369,0.62097656,0,,,True,
