key,tic,t0,tier,rank,snr,depth_ppm,duration_h,tmag,rstar,mstar,ra,dec,is_candidate,is_validation,toi_phase2,lc_status,shape,shape_strict_box,dbic_alt,dbic_box,best_alt,fit_t0,fit_rp,fit_t14_h,fit_b,fit_depth_ppm,grazing,duration,duration_too_long,t_min_h,p_b0_d,duration_note,edge_lc,near_edge,edge_resolved,edge_pixels,edge,pix_status,pixels,pixel_confirm,pixel_snr_ratio,pixel_depth_ratio,centroid,centroid_offset_px,centroid_sigma,diff_snr,centroid_inconclusive,neighbours,neighbours_failing,n_unresolved,ap_snr,asteroid,asteroid_hits,catalogue,known,eb,eb_overridden,toi_fp,tois,toi_disp,ctois,fpp_status,fpp,fpp_value,nfpp_value,p_lo,p_hi,bic_transit,bic_box,bic_ramp,bic_step,bic_flare_decay
188461829_1891.4500,188461829,1891.45,A,1524,109.616,29559,4,10.9436,1.0076,1.05,132.63775,38.303689,True,False,,ok,True,True,1819.9087,806.20809,flare_decay,1891.4556,0.44088183,8.0288969,1.1747811,35356.79,True,True,False,3.5202561,29.683484,,True,False,True,False,True,ok,True,True,0.59721549,0.69286935,True,0.040060199,2.633052,64.737319,False,True,,0,65.464373,True,,True,True,False,False,False,,,188461829.01,ok,False,1,0,20.81444,31.22166,0,806.20809,5234.1926,3332.1974,1819.9087
233166409_1896.4600,233166409,1896.46,A,1528,109.336,42610.7,3,12.0025,0.827447,0.743,187.21427,59.105113,True,False,,ok,True,True,2213.5391,899.4048,flare_decay,1896.4549,0.46852319,6.3795519,1.1420501,50598.982,True,True,False,3.3061872,17.968734,,True,True,True,True,True,ok,True,True,1.9561557,0.72309291,True,0.11441633,8.6632492,103.81458,False,True,,0,213.87824,True,,True,False,False,False,False,,,,ok,False,1,0,25.98288,38.97432,0,899.4048,7699.7193,4966.0278,2213.5391
17193496_1872.5400,17193496,1872.54,A,2088,76.6849,82020,1,12.7401,0.605267,0.592365,145.50945,39.939041,True,False,,ok,True,True,1320.6294,831.41818,flare_decay,1872.5505,0.30744502,2.3460584,0.71038482,92920.875,True,True,False,2.3217099,2.5699148,,True,False,False,True,True,ok,True,True,1.3296195,0.64275302,True,0.12132158,4.2635781,59.332136,False,True,,0,101.96174,True,,True,False,False,False,False,,,,ok,False,1,0,25.215329,37.822993,0,831.41818,6482.4356,5243.5268,1320.6294
188476140_1882.4500,188476140,1882.45,A,2095,76.2514,48115.5,2,12.1958,0.836231,0.98,133.77582,37.209681,True,False,,ok,True,True,355.90767,342.75349,flare_decay,1882.4679,0.45401465,4.700014,1.1156315,52889.628,True,True,False,3.0164746,9.4545763,,True,False,True,False,True,ok,False,False,-0.056517245,-0.058779272,True,,,-30.926151,True,True,,0,-4.3095191,True,,True,False,False,False,False,,,,not run,,,,,,0,342.75349,1524.8564,1164.3576,355.90767
149453421_1874.8600,149453421,1874.86,A,2160,74.7825,29773.7,2,11.1932,0.597833,,141.22035,24.330648,True,False,,ok,True,True,334.65986,251.71339,flare_decay,1874.8545,0.46535242,2.8665505,1.1872326,38868.106,True,True,False,2.5623822,3.4927219,,True,False,False,False,True,ok,False,False,-0.05214829,-0.038745578,True,,,-8.2738062,True,True,,1,-3.8997795,True,,True,False,False,False,False,,,,not run,,,,,,0,251.71339,2616.5221,2082.4844,334.65986
87952615_1893.9600,87952615,1893.96,A,2198,72.4125,26049.2,2,11.4861,1.034,1.08,145.78521,22.635058,True,False,,ok,True,True,690.24099,504.91309,flare_decay,1893.9688,0.43750367,3.4992478,1.1845093,32453.047,True,True,False,3.5703722,2.3342592,grazing,True,False,True,False,True,ok,False,False,6.1266921e-05,4.0497271e-05,True,,,-1.684962,True,True,,0,0.0044364909,True,,True,False,False,False,False,,,,not run,,,,,,0,504.91309,2568.0685,1852.8141,690.24099
239201634_1879.9000,239201634,1879.9,A,2248,70.3712,38690.4,3,12.1263,0.598919,0.587206,148.86628,21.319004,True,False,,ok,True,True,209.91468,317.4023,flare_decay,1879.8991,0.44707452,7.7364299,1.1550944,41370.803,True,True,False,2.550214,69.831618,,True,False,True,False,True,ok,False,False,0.15496781,0.12132376,True,0.24899866,4.2496249,22.403338,False,True,,0,10.905271,True,,True,False,False,False,False,,,,not run,,,,,,0,317.4023,1121.16,817.69765,209.91468
92007716_1895.6900,92007716,1895.69,A,2288,69.0912,26447.4,8,12.7222,1.08252,1.07,145.3377,22.821517,True,False,,ok,True,True,410.37398,97.85357,flare_decay,1895.7011,0.17592752,8.679955,0.54415061,34618.451,False,True,False,3.0669429,56.710351,,True,False,True,False,True,ok,False,False,-0.30973558,-0.32028645,True,,,-160.1199,True,True,,1,-21.400003,True,,True,False,False,False,False,,,,not run,,,,,,0,97.85357,2315.4518,1500.1002,410.37398
417913589_1881.2400,417913589,1881.24,A,2414,65.4477,51835.4,3,12.7336,0.654974,0.88,145.4784,68.583968,True,False,,ok,True,True,513.54131,220.80062,flare_decay,1881.2602,0.24310588,4.7047464,0.68339376,61096.359,False,True,False,2.0934348,28.383586,,True,False,True,True,True,ok,True,True,2.0215578,0.70483274,True,0.21830891,9.6615365,68.395178,False,True,,0,132.30631,True,,True,False,False,False,False,,,,ok,False,0.99507044,0,16.503768,28.383586,0,220.80062,1939.9716,1313.9291,513.54131
117295375_1893.8000,117295375,1893.8,A,2513,62.475,45689.1,1.5,12.4728,0.875274,0.87,131.23007,26.510286,True,False,,ok,False,False,-102.91853,175.07739,flare_decay,1893.8037,0.23379742,1.6587012,0.56654602,60268.208,False,False,False,2.7874792,0.49464938,,True,False,False,,True,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,175.07739,1233.3451,877.08997,-102.91853
318209162_1891.8500,318209162,1891.85,A,2578,61.0118,17715.9,2,10.5295,0.732648,0.74,142.37871,50.964648,True,True,5746.01,ok,True,True,671.01571,265.06097,flare_decay,1891.8625,0.15973055,3.326811,0.86816315,21063.431,True,True,False,2.3145975,7.4172129,,True,False,True,True,True,ok,True,True,0.91616576,0.54363993,True,0.22347646,7.3356158,41.801309,False,True,,0,55.896922,True,,False,True,False,False,True,5746.01,FP,318209162.01,ok,False,0.82927575,0.50851233,21.388659,32.082989,0,265.06097,2606.231,1878.9431,671.01571
284898876_1892.7400,284898876,1892.74,A,2667,58.2603,16207.1,1.5,10.7281,1.37448,0.99,132.64462,30.464489,True,False,,ok,False,False,-187.87591,161.80531,flare_decay,1892.7459,0.19458433,3.2257231,0.97439444,17024.221,True,True,False,4.0605215,1.2018567,grazing,False,True,False,,False,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,161.80531,970.88378,273.45152,-187.87591
154939098_1872.5100,154939098,1872.51,A,2826,53.2798,23568.3,3,12.4025,0.865247,1.047,208.85149,84.429328,True,False,,ok,True,True,1214.9874,434.67703,flare_decay,1872.5288,0.20146041,3.9604666,0.8563954,32502.319,True,True,False,2.5225903,9.6703744,,True,False,True,True,True,ok,True,True,1.6660838,0.72565323,True,0.14695042,4.6658627,46.292311,False,True,,0,88.768611,True,,True,False,False,False,False,,,,ok,True,0.0009829592,0,25.233418,37.850127,0,434.67703,3706.086,2655.2618,1214.9874
21508802_1895.0800,21508802,1895.08,A,2884,51.5218,22447.2,2,11.8878,1.10127,1,133.17513,43.605575,True,False,,ok,True,True,105.66201,120.75981,flare_decay,1895.1102,0.42299386,4.8736486,1.2165406,22938.722,True,True,False,3.8623266,5.0092293,,True,False,True,False,True,ok,False,False,-0.34830358,-0.50073396,True,,,-81.421478,True,True,,0,-17.945227,True,,True,False,False,False,False,,,,not run,,,,,,0,120.75981,1079.1439,768.99112,105.66201
56912737_1877.6500,56912737,1877.65,A,2907,50.9391,7126.59,2,9.56358,1.42182,1.274,139.3543,47.272585,True,False,,ok,True,True,578.95282,345.97729,flare_decay,1877.6494,0.35579409,3.9294083,1.2389116,8390.0432,True,True,False,4.3831599,1.7627927,grazing,True,False,True,True,True,ok,True,True,0.44184357,0.79242765,True,0.1061987,1.7389273,17.059526,False,True,,0,22.507114,True,,False,False,True,False,False,,,,not run,,,,,,0,345.97729,2470.8508,1815.3521,578.95282
166584321_1873.8000,166584321,1873.8,A,2946,50.2787,23969.1,1.5,11.2772,0.417952,0.411591,135.45477,32.851635,True,False,,ok,True,True,511.33909,576.94482,flare_decay,1873.8485,0.39673327,7.98867,1.1865677,22993.659,True,True,False,1.9335917,176.36173,,True,False,True,False,True,ok,False,False,0.022846869,0.011153042,True,,,2.0865802,True,True,,0,1.1487109,True,,True,False,False,False,False,,,,not run,,,,,,0,576.94482,2780.9544,1858.2289,511.33909
88064993_1897.4400,88064993,1897.44,A,3069,47.4136,25976.6,6,12.2134,0.824347,0.9,148.04483,22.029836,True,False,,ok,False,False,-124.86611,-266.95294,flare_decay,1897.4449,0.097128464,8.059591,0.00016697028,11424.251,False,True,False,2.3080927,106.48778,,False,True,False,,False,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-266.95294,123.68837,2.2997009,-124.86611
