shortlist_rank,tic,tier,tmag,rstar,fit_t0,fit_depth_ppm,fit_t14_h,fit_b,snr,dbic_alt,dbic_box,p_b0_d,fpp_value,nfpp_value,p_lo,p_hi,centroid_offset_px,n_unresolved,tois,ctois,new,review_notes
1,239198203,A,12.415,0.73734,2628.9,45868,4.0818,0.65639,75.85,1975.2,570.42,12.233,3.9968e-15,0,18.545,27.818,0.078061,0,,,True,deep (>2 %): check for stellar companion
2,376848623,A,9.5717,3.5678,2633.2,1002.1,42.828,1.2383,14.67,47.364,48.057,195.15,7.8715e-14,8.9029e-14,22.237,195.15,0.27177,0,,,True,very long dip: compare with stellar variability; grazing/V-shaped: EB-like geometry
3,147971475,A,12.399,2.4432,2634,2602.1,56.009,0.46508,18.172,16.377,53.665,1699.7,1.2117e-12,0,23.576,1699.7,0.76119,0,,,True,very long dip: compare with stellar variability; centroid offset 0.76 px at 22 sigma
4,252795236,A,12.061,0.80675,2614.6,7938,13.918,0.0081233,15.046,89.581,-2.226,675.01,5.8601e-09,0,21.409,675.01,,0,,,True,difference image too faint for a centroid
5,142905733,B,12.45,0.60727,2627,2416.2,34.412,1.7367e-05,18.021,10.513,-4.4123,15852,4.7735e-08,0,16.032,15852,0.22054,0,,,True,very long dip: compare with stellar variability
6,459793183,A,10.077,1.617,2619.7,3931.5,8.6356,0.81612,26.881,276.13,46.344,22.998,1.3382e-07,0,16.271,24.407,0.12049,0,,,True,
7,298092113,A,11.933,0.87659,2614.5,4431.8,19.667,0.00035886,13.263,36.823,-2.7296,1461.4,8.89e-06,8.5719e-06,21.51,1461.4,0.11794,0,,,True,
8,284993804,B,12.644,1.1583,2614.4,6896.8,25.712,0.75861,11.357,24.503,4.6709,1353.6,1.0339e-05,1.0338e-05,21.551,1353.6,,0,,,True,difference image too faint for a centroid
9,16222047,A,11.26,1.7765,2613.1,1816.2,11.219,0.0034708,12.437,39.322,-4.5999,39.056,9.8063e-05,1.1966e-06,22.85,39.056,0.21846,0,,,True,
10,335661035,B,12.859,0.68695,2627.1,9408.4,60.438,1.2636,34.24,107.79,125.08,28204,0.00032483,0,16.217,28204,0.67839,0,,,True,very long dip: compare with stellar variability; grazing/V-shaped: EB-like geometry; centroid offset 0.68 px at 21 sigma
11,88704042,A,7.0515,1.0452,2628.8,211.54,59.71,0.99215,13.522,52.773,12.517,28869,0.00032901,0,18.543,28869,0.78056,0,,,True,very long dip: compare with stellar variability; grazing/V-shaped: EB-like geometry; centroid offset 0.78 px at 51 sigma
12,155873261,B,10.221,2.4014,2625.6,5229.4,9.9178,0.88234,11.075,344.83,355.39,9.4203,0.0041723,0,15.345,23.018,0.014363,0,,,True,
13,165685135,A,11.735,1.1981,2618.7,2737.3,11.814,0.79932,16.474,13.333,-0.3274,146.84,0.011614,0,17.271,146.84,0.24748,0,,,True,
14,188506574,B,11.476,1.8656,2614.4,1860.5,23.84,0.0054021,12.412,13.469,-4.0701,366.83,0.013023,0.013018,21.574,366.83,0.23198,0,,,True,
15,27068699,A,12.942,0.66834,2618.7,19892,5.5641,0.6047,20.683,70.044,19.634,45.358,0.013681,0,17.242,45.358,0.48534,0,,,True,
16,156372726,A,12.373,0.84201,2620.3,2690.8,46.176,0.89803,13.712,19.411,8.8927,18468,0.01818,0,15.699,18468,,0,,,True,very long dip: compare with stellar variability; difference image too faint for a centroid
17,154565237,A,10.492,0.94737,2613.7,1214.1,4.4432,2.8878e-06,8.4008,40.691,-2.6817,16.58,0.026477,0.00043866,22.333,33.5,0.31599,1,,,True,neighbour inside the target pixel
18,237109179,A,10.545,1.1998,2611.8,1374.4,5.5583,0.33353,8.6833,14.052,-1.5737,15.469,0.093794,0,24.202,36.302,0.25234,0,,,True,
19,165410329,A,12.755,0.64307,2619,5707.5,4.9389,1.269,8.0837,10.094,-2.3434,18.675,0.10944,0,17.008,25.512,0.41356,0,,,True,grazing/V-shaped: EB-like geometry
20,157264264,A,10.242,1.9931,2620.3,3547.4,5.2693,8.9267e-05,28.797,214,16.69,2.5525,0.11592,0,15.732,23.599,0.10003,0,,,True,
21,159540437,B,11.61,1.8504,2611.5,4803.5,11.64,0.92027,8.4125,139.19,39.239,45.467,0.11765,0.0091585,24.466,45.467,0.024395,0,,,True,
22,85911158,A,12.82,1.113,2628.2,4915.6,30.998,1.2556,9.7287,28.828,5.2262,1408.6,0.137,0,17.724,1408.6,0.70059,0,,,True,very long dip: compare with stellar variability; grazing/V-shaped: EB-like geometry; centroid offset 0.70 px at 16 sigma
23,159159589,A,11.492,0.94673,2619.7,14185,4.1662,0.84527,41.026,509.27,146.43,9.1757,0.13987,0,16.29,24.435,0.092444,0,,,True,
24,233575173,A,12.102,2.1171,2631.8,2971.8,28.976,0.9337,14.818,79.206,4.5915,457.46,0.14255,4.9004e-07,20.799,457.46,0.07023,0,,,True,
25,55779787,B,12.495,0.96335,2611,4455.1,10.319,1.313,7.8747,10.417,2.9793,80.224,0.19404,0,25.017,80.224,0.2227,0,,,True,grazing/V-shaped: EB-like geometry
26,29235065,B,12.153,1.7019,2610.4,5020.9,18.653,1.2728,8.1201,51.237,22.205,114.21,0.22719,0,25.542,114.21,0.22126,0,,,True,grazing/V-shaped: EB-like geometry
27,95747180,A,12.647,1.2184,2621.1,8536.7,4.6031,0.75372,13.055,56.864,5.6644,7.5244,0.27758,0,14.853,22.28,0.095024,0,,,True,
28,198206622,A,12.063,1.7354,2626.1,8836.5,7.4576,0.72214,19.132,218.89,18.713,10.031,0.36175,1.1218e-23,15.62,23.431,0.20233,0,,,True,
29,298663873,B,8.5685,1.6276,2611.2,2559.4,23.266,1.5745e-11,27.022,2047.4,571.21,437.44,9.77e-15,0,24.75,437.44,0.29511,1,2180.01,298663873.01,False,neighbour inside the target pixel
30,289718679,A,9.0592,1.1307,2633.3,718.45,8.4526,0.00012509,14.871,23.637,-6.5217,79.09,0.00025804,1.2881e-16,22.857,79.09,0.30685,0,,289718679.01,False,
31,258799245,A,9.5931,2.6675,2630.3,2826.3,9.1426,0.93868,24.494,256.03,83.538,9.8411,0.0012428,0,18.336,27.504,0.10495,0,,258799245.01,False,grazing/V-shaped: EB-like geometry
32,287080092,A,8.8062,1.2684,2632.9,584.55,8.6884,0.87816,10.502,12.248,-3.6213,57.335,0.0014811,0,22.437,57.335,0.34156,0,1751.01,,False,
33,229742722,A,9.9369,1.4016,2614.9,5312.4,4.7716,2.0845e-08,37.511,358.52,43.841,7.0028,0.0025961,0,21.075,31.612,0.11943,0,1859.01,229742722.01,False,
34,142387023,A,8.9754,0.82447,2632.2,1135.2,4.2222,0.0024075,7.7176,88.539,-1.6034,18.045,0.0058706,3.5773e-05,21.985,32.978,0.1126,2,1824.01,142387023.01,False,neighbour inside the target pixel
35,219857012,A,8.2865,1.1585,2618.6,486.33,7.4764,0.96146,8.4232,15.774,3.0585,42.374,0.012185,0,17.335,42.374,,0,1742.01,,False,difference image too faint for a centroid
36,288636342,A,10.741,1.458,2620.9,2873.7,7.7397,0.0012694,16.802,111.54,21.984,29.415,0.01709,4.5139e-30,15.124,29.415,0.090514,0,1692.01;1692.02,288636342.02,False,
37,420112217,A,12.49,1.2793,2628.9,4957.9,6.2535,4.5955e-07,9.4736,30.085,-2.5888,16.197,0.018553,0.010417,16.983,25.475,0.10919,0,4163.01,,False,
38,459969957,A,11.899,0.80494,2620.4,12857,4.2977,0.00058604,43.086,455.24,23.821,14.155,0.023769,0,15.564,23.346,0.12339,0,1274.01,,False,
39,53481079,A,10.822,0.85663,2612.9,1432,4.0616,8.2151e-05,8.2125,20.144,-4.429,15.434,0.023832,0,23.117,34.676,0.33754,0,5717.01,,False,
40,85293053,A,9.3523,0.99525,2618.7,3904,5.5389,0.39378,19.956,452.53,44.413,24.1,0.026744,3.564e-151,17.28,25.919,0.096734,0,1772.01;1772.02,85293053.02,False,
41,224299081,B,10.713,1.3756,2626.9,2833.3,5.9938,4.5263e-05,14.273,143.35,9.6001,12.583,0.03107,8.6795e-25,16.61,24.915,0.099824,0,5619.01,224299081.01;224299081.02,False,
42,99919551,A,12.618,0.75105,2628.8,7432.4,4.0921,0.00048399,11.901,39.411,-3.4064,14.787,0.03112,0,18.358,27.537,0.066692,0,,99919551.01,False,
43,302728777,A,12.316,1.2554,2633.5,3676.9,5.9389,0.00048056,11.308,16.442,-6.0867,14.752,0.033221,0,23.172,34.758,0.13946,0,,302728777.01,False,
