key,tic,t0,tier,rank,snr,depth_ppm,duration_h,tmag,rstar,mstar,ra,dec,is_candidate,is_validation,toi_phase2,lc_status,shape,shape_strict_box,dbic_alt,dbic_box,best_alt,fit_t0,fit_rp,fit_t14_h,fit_b,fit_depth_ppm,grazing,duration,duration_too_long,t_min_h,p_b0_d,duration_note,edge_lc,near_edge,edge_resolved,edge_pixels,edge,pix_status,pixels,pixel_confirm,pixel_snr_ratio,pixel_depth_ratio,centroid,centroid_offset_px,centroid_sigma,diff_snr,centroid_inconclusive,neighbours,neighbours_failing,n_unresolved,ap_snr,asteroid,asteroid_hits,catalogue,known,eb,eb_overridden,toi_fp,tois,toi_disp,ctois,fpp_status,fpp,fpp_value,nfpp_value,p_lo,p_hi,bic_transit,bic_box,bic_ramp,bic_step,bic_flare_decay
159466872_2632.1000,159466872,2632.1,A,777,223.42,1.716e+05,3,12.964,0.49098,0.48907,245.05,82.674,True,False,,ok,True,True,9609.4,3531.4,flare_decay,2632.1,0.41367,5.226,0.38169,1.9537e+05,False,True,False,2.1706,34.901,,True,False,True,True,True,ok,True,True,1.0842,0.82801,True,0.28094,31.917,186.66,False,True,,0,242.22,True,,True,False,False,False,False,,,,ok,False,1,0,21.237,34.901,0,3531.4,32092,22052,9609.4
362104293_2633.7500,362104293,2633.8,A,1798,89.356,30636,1.5,10.11,0.80788,0.84,268.21,68.455,True,False,,ok,True,True,4500.3,1728.8,flare_decay,2633.8,0.43372,3.9196,1.1724,34089,True,True,False,3.025,5.4309,,True,False,True,True,True,ok,True,True,1.1155,0.70489,True,0.071476,7.6188,93.082,False,True,,0,99.676,True,,False,True,True,False,False,,,362104293.01,not run,,,,,,0,1728.8,14670,10883,4500.3
165282032_2616.4500,165282032,2616.4,A,1930,79.578,63274,1.5,12.621,0.76282,0.848,156.44,25.453,True,False,,ok,True,True,1085.8,784.35,flare_decay,2616.4,0.47348,2.8873,1.0572,75152,True,True,False,2.9262,2.3895,grazing,True,False,True,False,True,ok,False,False,-0.023062,-0.015391,True,,,-27.041,True,True,,0,-1.8353,True,,True,False,False,False,False,,,,not run,,,,,,0,784.35,5027.6,4040.6,1085.8
17193496_2630.5400,17193496,2630.5,A,1947,78.644,69405,1.5,12.74,0.60527,0.59237,145.51,39.939,True,False,,ok,True,True,1697.3,745.22,flare_decay,2630.5,0.54016,2.3913,1.0891,90554,True,True,False,2.7351,1.6594,grazing,True,False,True,True,True,ok,True,True,0.862,0.71311,True,0.093358,4.3584,73.221,False,True,,0,67.791,True,,True,False,False,False,False,,,,ok,False,1,0,20.424,30.636,0,745.22,6619.5,5479.9,1697.3
239198203_2628.9100,239198203,2628.9,A,1990,75.85,43540,2,12.415,0.73734,0.761,146.86,27.394,True,False,,ok,True,True,1975.2,570.42,flare_decay,2628.9,0.20814,4.0818,0.65639,45868,False,True,False,2.4041,12.233,,True,False,True,True,True,ok,True,True,1.3772,0.90608,True,0.078061,3.2963,65,False,True,,0,104.46,True,,True,False,False,False,False,,,,ok,True,3.9968e-15,0,18.545,27.818,0,570.42,6609.6,4751.5,1975.2
233211759_2615.0800,233211759,2615.1,A,2005,74.659,49421,2,12.509,0.32291,0.30291,266.77,70.78,True,False,,ok,True,True,1778.3,476.26,flare_decay,2615.1,0.22285,3.4955,0.60147,53997,False,True,False,1.4486,35.131,,True,False,True,True,True,ok,True,True,1.7313,0.9442,True,0.091849,4.3589,63.92,False,True,,0,129.26,True,,False,False,True,False,False,,,,not run,,,,,,0,476.26,6700.1,4717.7,1778.3
139415069_2633.5900,139415069,2633.6,A,2109,69.585,11265,6,11.689,1.0617,1.06,153.91,30.656,True,False,,ok,True,True,380.13,176.77,flare_decay,2633.6,0.13187,5.7699,0.79493,16725,False,True,False,2.9043,19.605,,True,False,True,False,True,ok,False,False,-0.20264,-0.20921,True,,,-61.446,True,True,,0,-14.101,False,"Lucina (V=12.4, 9"")",True,False,False,False,False,,,,not run,,,,,,0,176.77,2135.2,1443.1,380.13
3960185_2631.1500,3960185,2631.2,A,2314,61.346,46402,1,12.134,0.82134,0.7,152.08,24.941,True,False,,ok,True,True,630.03,238.34,flare_decay,2631.2,0.45159,2.4549,1.1279,49115,True,True,False,3.309,0.99688,grazing,False,True,False,False,False,ok,False,False,-0.52729,-0.34525,True,,,-34.008,True,True,,0,-32.347,True,,True,False,False,False,False,,,,not run,,,,,,0,238.34,2804.5,2286,630.03
335964512_2625.7600,335964512,2625.8,A,2487,55.325,15033,8,11.901,1.1571,1.21,265.74,53.57,True,False,,ok,False,False,-23.137,-1.6425,flare_decay,2625.6,0.04634,32.765,0.050359,2601,False,True,False,2.7997,4010,,False,True,False,,False,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-1.6425,1.7231,-16.145,-23.137
88004101_2634.7600,88004101,2634.8,A,2509,53.44,18974,1.5,11.486,1.2264,1.22,146.84,23.453,True,False,,ok,True,True,668.11,333.01,flare_decay,2634.8,0.43187,2.1677,1.2163,24843,True,True,False,4.0506,0.31326,grazing,False,True,False,False,False,ok,False,False,-0.065825,-0.084626,True,,,-3.6246,True,True,,0,-3.5177,True,,True,False,False,False,False,,,,not run,,,,,,0,333.01,2784,2187,668.11
230065191_2618.4100,230065191,2618.4,A,2520,52.771,29826,6,12.635,1.1097,1.14,230.23,69.538,True,False,,ok,True,True,1334.9,463.5,flare_decay,2618.4,0.18381,9.4123,0.73821,33922,False,True,False,3.0988,70.107,,True,False,True,True,True,ok,True,True,1.768,0.91608,True,0.099986,4.6193,72.276,False,True,,0,93.299,True,,True,False,False,False,False,,,,ok,False,1,0,17.575,70.107,0,463.5,3701.5,2151.9,1334.9
159290668_2625.6200,159290668,2625.6,A,2562,51.082,22170,1.5,7.9428,0.81444,0.91,229.04,80.423,True,False,,ok,False,False,-23.122,-3.9125,step,2625.6,0.23551,0.44878,1.2113,545.19,True,True,False,2.5586,,grazing,False,True,False,,False,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-3.9125,-19.911,-23.122,-17.823
156512187_2621.1600,156512187,2621.2,A,2684,48.251,29834,4,12.909,0.90956,1.02,221.07,77.946,True,True,7018.01,ok,True,True,965.03,179.97,flare_decay,2621.2,0.17323,5.3933,0.091413,36202,False,True,False,2.6122,22.008,,True,False,True,True,True,ok,True,True,1.3628,0.72747,True,0.091423,3.5754,29.302,False,True,,0,65.755,True,,True,True,False,False,False,7018.01,PC,,ok,True,0.4181,0,14.823,22.234,0,179.97,2906.9,1471.2,965.03
156462190_2625.7900,156462190,2625.8,A,2702,47.862,18666,8,12.642,0.8031,0.99,217.12,72.838,True,False,,ok,False,False,-14.735,-6.6726,ramp,2626.6,0.043343,2.9473,0.010977,2276.6,False,True,False,2.0714,7.1943,,True,False,True,,True,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-6.6726,-14.735,-11.108,-5.6562
142320810_2634.6500,142320810,2634.7,A,2723,47.123,3969.6,24,11.93,1.8789,1.46,194.46,61.923,True,False,,ok,True,True,174.94,158.28,step,2634.7,0.35769,57.003,1.2729,4966.8,True,True,False,5.5446,2723.8,,False,True,False,False,False,ok,False,False,-0.020392,-0.020574,True,,,-3.4584,True,True,,0,-0.96094,True,,True,False,False,False,False,,,,not run,,,,,,0,158.28,346.16,174.94,305.42
313261580_2634.6900,313261580,2634.7,A,2735,46.672,14537,24,12.747,0.82668,0.96,195.18,71.841,True,False,,ok,True,True,1490.5,885.29,step,2634.7,0.4181,53.351,1.2381,18221,True,True,False,2.9284,15129,,False,True,False,False,False,ok,False,False,0.0085072,0.0047718,True,,,-2.9196,True,True,,0,0.39705,True,,True,False,False,False,False,,,,not run,,,,,,0,885.29,2573.3,1490.5,1819.6
239205079_2615.0200,239205079,2615,A,2754,46.044,23785,6,7.0485,1.0598,1.1,149.26,19.762,True,False,,ok,True,True,1417.2,1961.1,flare_decay,2615,0.41345,15.424,1.2165,21038,True,True,False,3.5762,200.78,,False,True,False,False,False,ok,False,False,-0.30993,-0.10049,True,,,-2.8937,True,True,,0,-14.27,True,,True,False,False,False,False,,,,not run,,,,,,0,1961.1,5508.5,1628.9,1417.2
458419988_2619.9600,458419988,2620,A,2768,45.643,15598,1.5,11.376,0.96677,0.98,170.67,53.614,True,False,,ok,True,True,339.3,127.74,flare_decay,2620,0.16386,2.7117,0.90678,18599,True,True,False,2.7913,2.2732,grazing,True,False,True,True,True,ok,True,True,0.97293,0.78193,True,0.12142,3.1692,25.872,False,True,,0,44.407,True,,True,True,False,False,False,,,458419988.01,ok,False,0.75122,0,16.028,24.042,0,127.74,1381.5,1040.9,339.3
453444539_2618.0900,453444539,2618.1,A,2802,44.688,21986,2,11.634,0.85747,,147.8,52.395,True,False,,ok,True,True,1078,406.75,flare_decay,2618.1,0.16818,5.7018,0.85954,23705,True,True,False,2.598,26.435,,True,False,True,True,True,ok,False,True,1.4153,0.72412,True,0.11404,5.0056,59.506,False,False,453444538,0,63.246,True,,True,True,False,False,False,,,453444539.01,not run,,,,,,0,406.75,3309.5,2132.2,1078
142566413_2634.5900,142566413,2634.6,A,2830,43.921,5358.3,24,9.9888,0.77554,0.95,165.97,72.469,True,False,,ok,True,True,3087.3,2362.1,step,2634.6,0.37212,53.939,1.2733,6481.9,True,True,False,2.6673,20687,,False,True,False,False,False,ok,False,False,0.082722,0.023113,True,0.85101,35.694,3.3897,False,True,,1,3.6332,True,,True,False,False,False,False,,,,not run,,,,,,0,2362.1,6214.6,3087.3,4456.2
1097360_2620.8400,1097360,2620.8,A,2831,43.904,5806.2,2,9.7786,0.95126,1.115,155.07,25.351,True,False,,ok,True,True,487.35,98.152,flare_decay,2620.8,0.40459,5.3014,1.3102,6213.5,True,True,False,3.1753,11.635,,False,True,False,False,False,ok,False,False,-0.12291,-0.28203,True,,,-16.717,True,True,,0,-5.3964,True,,True,False,False,False,False,,,,not run,,,,,,0,98.152,1375.6,879.74,487.35
459969957_2620.4200,459969957,2620.4,A,2866,43.086,11319,4,11.899,0.80494,0.747,254.82,65.747,True,True,1274.01,ok,True,True,455.24,23.821,flare_decay,2620.4,0.10304,4.2977,0.00058604,12857,False,True,False,2.4111,14.155,,True,False,True,True,True,ok,True,True,1.1186,0.98626,True,0.12339,3.2599,32.526,False,True,,0,48.195,True,,True,True,False,False,False,1274.01,PC,,ok,True,0.023769,0,15.564,23.346,0,23.821,1461,883.85,455.24
233060199_2617.3300,233060199,2617.3,A,2886,42.401,8020.2,4,11.316,1.0279,1.05,269.92,62.688,True,False,,ok,True,True,310.2,127,flare_decay,2617.3,0.3887,7.1983,1.2643,9636.3,True,True,False,3.4612,22.5,,True,False,True,True,True,ok,False,True,3.9746,2.392,False,1.7792,199.47,214.71,False,False,233060204,0,168.53,True,,True,False,False,False,False,,,,not run,,,,,,0,127,824.11,537.63,310.2
156213722_2626.1800,156213722,2626.2,A,2898,42.043,21233,6,12.225,0.81584,0.885,184.42,80.481,True,False,,ok,False,False,-15.234,-8.3056,ramp,2625.9,0.051742,11.823,0.0041695,3244.2,False,True,False,2.202,387.06,,False,,,,False,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-8.3056,-15.234,-9.456,-4.6916
