order,tic,role,category,rank_phase3,tier,tmag,rstar,t0_btjd,depth_ppm,t14_h,snr,fpp,rp_rj,rp_rj_diluted,ruwe,binarity_flags,n_sectors,n_spoc2min,n_tess-spoc,n_qlp,n_tesscut,n_second_dips,n_failing_dips,p_floor_d,allowed_fraction_logP,joint_periods,confirm,step,reasons,positives,period_summary
1,165685135,candidate,submit,13,A,11.7349,1.19805,2618.7168,2737.3029,11.813861,16.4738,0.011614079,0.60994946,0.60994946,0.85074145,,2,0,2,0,0,0,0,718.40885,0.39413643,,qlp:0.85/9.5;tesscut:0.84/11.8,qlp:+0.99/+0.96;tesscut:+0.95/+1.12;tess-spoc:+1.00/+0.98,,"confirmed in qlp (depth ratio 0.85, SNR 9.5)","all P > 718 d allowed (longer than TESS's span around the event); 66 allowed windows below that, e.g. 17.6-17.7, 18.0-18.1, 18.5-18.6, 19.0-19.1, 19.5-19.6 d; duration implies P >= 147 d for a central circular orbit"
2,237109179,candidate,submit,18,A,10.5452,1.19979,2611.7819,1374.4038,5.5582773,8.68334,0.093794323,0.43283252,0.43283252,0.84456086,,21,9,11,1,0,0,0,1051.0427,0.09183862,,spoc2min:1.11/9.1;qlp:0.53/3.8;tesscut:1.15/10.3,spoc2min:+1.38/+1.22;qlp:+1.19/+0.56;tesscut:+1.75/+1.03;tess-spoc:+1.43/+0.98,,"confirmed in spoc2min (depth ratio 1.11, SNR 9.1)","all P > 1051 d allowed (longer than TESS's span around the event); 90 allowed windows below that, e.g. 159.2-159.3, 162.5-162.5, 221.2-224.7, 224.8-225.4, 233.6-233.7 d; duration implies P >= 15 d for a central circular orbit"
3,239198203,candidate,maybe,1,A,12.4145,0.737339,2628.9087,45867.574,4.0817698,75.8505,3.9968029e-15,1.5366592,1.5366592,1.150575,,2,0,2,0,0,1,0,758.3766,0.38757527,749.052;374.526;249.684;187.263;149.810;124.842;107.007;93.632;83.228;74.905;68.096;62.421;57.619;53.504;49.937;46.816;44.062;41.614;39.424;37.453;35.669;34.048;32.567;31.211;29.962;28.810;27.743;26.752;25.829;24.968;24.163;23.408;22.699;22.031;21.401;20.807;20.245;19.712;19.206;18.726,qlp:0.94/47.7;tesscut:0.90/98.1,qlp:+0.90/+0.96;tesscut:+0.88/+0.91;tess-spoc:+0.89/+0.91,S1 review notes: deep (>2 %): check for stellar companion,"confirmed in qlp (depth ratio 0.94, SNR 47.7); second transit candidate(s) in sector(s) 21; periods consistent with all: 749.05, 374.53, 249.68, 187.26, 149.81, 124.84 d","all P > 758 d allowed (longer than TESS's span around the event); 172 allowed windows below that, e.g. 18.6-18.6, 18.7-18.7, 19.0-19.1, 19.2-19.2, 19.5-19.6 d; duration implies P >= 12 d for a central circular orbit; periods consistent with the second dip(s): 749.05, 374.53, 249.68, 187.26, 149.81, 124.84, 107.01, 93.63 d"
4,142905733,candidate,maybe,5,B,12.4502,0.607268,2626.9834,2416.1651,34.41216,18.0206,4.7735115e-08,0.29046992,0.29046992,1.7493424,ruwe,8,0,7,0,0,0,0,943.43069,0.23133897,,qlp:0.77/9.3;tesscut:0.33/4.3,qlp:+0.29/+1.12;tesscut:+0.43/+0.62;tess-spoc:+0.97/-0.23,S1 review notes: very long dip: compare with stellar variability; S2 host binarity: RUWE 1.75 > 1.4,"confirmed in qlp (depth ratio 0.77, SNR 9.3)","all P > 943 d allowed (longer than TESS's span around the event); 68 allowed windows below that, e.g. 53.1-53.1, 54.0-54.0, 54.7-54.8, 58.2-58.3, 59.0-59.4 d; duration implies P >= 15852 d for a central circular orbit"
5,459793183,candidate,maybe,6,A,10.0773,1.61704,2619.7156,3931.4646,8.6355685,26.8814,1.3382276e-07,0.9866325,1.3953091,1.2091547,wds;wds_close,4,0,4,0,0,0,0,749.11181,0.28265332,,qlp:0.98/35.6;tesscut:0.95/26.5,qlp:+1.00/+1.03;tesscut:+0.93/+1.03;tess-spoc:+0.90/+0.96,"S2 host binarity: close WDS pair (< 2"", dmag < 3): unresolved companion dilutes the transit; WDS: 11421+4953 sep 0.40"" mags 11.370/11.38","confirmed in qlp (depth ratio 0.98, SNR 35.6)","all P > 749 d allowed (longer than TESS's span around the event); 114 allowed windows below that, e.g. 16.3-16.3, 28.3-28.3, 28.8-28.9, 29.4-29.4, 30.0-30.0 d; duration implies P >= 23 d for a central circular orbit"
6,16222047,candidate,maybe,9,A,11.2596,1.7765,2613.1378,1816.1713,11.219177,12.4368,9.8062903e-05,0.73671767,0.73671767,0.8648066,,2,0,2,0,0,0,1,742.15675,0.37989461,,qlp:1.03/8.4;tesscut:0.77/7.5,qlp:+0.90/+0.79;tesscut:+1.20/-0.07;tess-spoc:+1.09/+0.89,S5 consistent-depth dips failing vetting in sector(s) 21,"confirmed in qlp (depth ratio 1.03, SNR 8.4)","all P > 742 d allowed (longer than TESS's span around the event); 88 allowed windows below that, e.g. 23.4-23.5, 23.5-23.5, 24.2-24.3, 24.3-24.3, 25.0-25.1 d; duration implies P >= 39 d for a central circular orbit"
7,155873261,candidate,maybe,12,B,10.2207,2.40144,2625.5944,5229.4059,9.9177836,11.0746,0.0041723013,1.6898781,1.6898781,0.94011253,gaia_nss,7,0,7,0,0,0,0,914.20531,0.24629297,,qlp:0.58/15.0;tesscut:0.63/19.5,qlp:+0.15/-0.00;tesscut:+0.33/+0.04;tess-spoc:-0.44/-0.04,S2 host binarity: Gaia non-single-star (SB2 P=0.7 d),"confirmed in qlp (depth ratio 0.58, SNR 15.0)","all P > 914 d allowed (longer than TESS's span around the event); 151 allowed windows below that, e.g. 25.4-25.4, 29.7-29.7, 35.5-35.6, 38.6-38.7, 41.0-41.0 d; duration implies P >= 9 d for a central circular orbit"
8,154565237,candidate,maybe,17,A,10.4923,0.947368,2613.6513,1214.052,4.443175,8.40076,0.026477038,0.32121426,0.32121426,0.98272866,wide_binary_catalogue,9,1,7,0,1,1,2,930.31524,0.19433645,707.426;353.713;235.809;117.904;78.603;64.311,qlp:1.05/6.8;tesscut:0.96/7.4,qlp:+0.98/+1.43;tesscut:+0.41/+1.52;tess-spoc:+1.14/+1.31,"S1 review notes: neighbour inside the target pixel; S5 consistent-depth dips failing vetting in sector(s) 47, 47","confirmed in qlp (depth ratio 1.05, SNR 6.8); second transit candidate(s) in sector(s) 74; periods consistent with all: 707.43, 353.71, 235.81, 117.90, 78.60, 64.31 d","all P > 930 d allowed (longer than TESS's span around the event); 89 allowed windows below that, e.g. 38.9-39.0, 52.1-52.3, 59.7-59.8, 59.9-60.0, 64.3-64.3 d; duration implies P >= 17 d for a central circular orbit; periods consistent with the second dip(s): 707.43, 353.71, 235.81, 117.90, 78.60, 64.31 d"
9,157264264,candidate,maybe,20,A,10.2415,1.99306,2620.2534,3547.3982,5.2692552,28.7975,0.11591743,1.1551352,1.1551352,0.99656755,,7,0,7,0,0,0,0,908.86705,0.22732954,,qlp:0.94/19.0;tesscut:0.94/23.1,qlp:+1.02/+0.89;tesscut:+1.00/+1.06;tess-spoc:+1.00/+0.95,S1 FPP 0.12 >= 0.1,"confirmed in qlp (depth ratio 0.94, SNR 19.0)","all P > 909 d allowed (longer than TESS's span around the event); 118 allowed windows below that, e.g. 32.8-32.8, 44.1-44.2, 45.8-45.8, 47.1-47.2, 48.4-48.4 d; duration implies P >= 3 d for a central circular orbit"
10,159540437,candidate,maybe,21,B,11.6099,1.85045,2611.5171,4803.4543,11.639795,8.41253,0.11765425,1.2479916,1.2479916,2.8355117,ruwe;gaia_nss,21,0,19,2,0,0,0,1051.2934,0.099058467,,qlp:0.41/7.2;tesscut:0.52/10.9,qlp:-1.40/+0.72;tesscut:-0.71/+0.45;tess-spoc:-0.56/+0.30,S1 FPP 0.12 >= 0.1; S2 host binarity: RUWE 2.84 > 1.4; Gaia non-single-star,"confirmed in qlp (depth ratio 0.41, SNR 7.2)","all P > 1051 d allowed (longer than TESS's span around the event); 56 allowed windows below that, e.g. 164.0-164.1, 164.2-164.4, 164.6-164.9, 220.9-224.7, 224.9-225.3 d; duration implies P >= 45 d for a central circular orbit"
