key,tic,trial,t0,depth_ppm,duration_h,expected_snr,recovered,plausible,detected,det_snr,dbic_alt,dbic_box,best_alt,shape_strict_box,edge_lc,edge_pixels,centroid,neighbours,pixel_confirm,pixel_snr_ratio,pixel_depth_ratio,fpp_value,nfpp_value,shape,duration,edge,pixels,asteroid,catalogue,fpp
8884909_0,8884909,0,2626.76,1405.98,24,7.17288,0,True,,,,,,,,,,,,,,,,,,,,,,
8884909_1,8884909,1,2626.97,4249.77,4,9.36877,1,True,True,8.66715,31.7025,-3.94848,flare_decay,True,True,True,True,True,True,1.63217,1.09371,0.116754,0,True,True,True,True,True,True,True
8884909_2,8884909,2,2627.82,20144.2,4,44.4087,1,True,True,47.2015,468.124,29.6108,flare_decay,True,True,True,True,True,True,1.41722,0.934034,,,True,True,True,True,True,True,
8884909_3,8884909,3,2628.77,21809,8,56.083,1,True,True,55.4525,1455.92,51.3939,flare_decay,True,True,True,True,True,True,1.39132,0.959548,,,True,True,True,True,True,True,
8884909_4,8884909,4,2626.87,3495.03,2,6.09904,0,False,,,,,,,,,,,,,,,,,,,,,,
8884909_5,8884909,5,2633.99,20582,2,35.9169,1,False,True,36.7645,330.437,18.4659,flare_decay,True,True,True,True,True,True,1.02741,0.957579,,,True,False,True,True,,True,
8884909_6,8884909,6,2621.09,8680.18,8,22.3215,1,True,True,22.329,109.92,10.3759,flare_decay,True,True,True,True,True,True,1.23428,1.08446,,,True,True,True,True,True,True,
8884909_7,8884909,7,2634.14,2689.94,16,9.01943,0,True,,,,,,,,,,,,,,,,,,,,,,
8884909_8,8884909,8,2631.97,8796.85,1,11.5648,1,False,True,11.4164,3.62131,-7.82875,flare_decay,False,True,True,True,True,True,1.01891,0.918341,,,False,False,True,True,,True,
8884909_9,8884909,9,2626.82,3377.35,8,8.68504,0,True,,,,,,,,,,,,,,,,,,,,,,
8884909_10,8884909,10,2634.78,1174.14,16,3.9369,0,True,,,,,,,,,,,,,,,,,,,,,,
8884909_11,8884909,11,2618.54,8342.96,2,14.559,1,False,True,15.9068,40.2263,3.04652,flare_decay,True,True,True,True,True,True,0.963694,0.938038,,,True,False,True,True,,True,
8884909_12,8884909,12,2611.88,23618.5,2,41.2158,1,False,True,40.2015,260.805,19.9256,flare_decay,True,True,True,True,True,True,1.35329,0.972394,,,True,False,True,True,,True,
8884909_13,8884909,13,2612.7,8055.3,4,17.7582,1,True,True,19.9717,91.3647,4.75853,flare_decay,True,True,True,True,True,True,0.848605,0.943095,,,True,True,True,True,True,True,
8884909_14,8884909,14,2616.15,8883.54,4,19.5841,1,True,True,18.7202,92.5559,6.43119,flare_decay,True,True,True,True,True,True,1.02321,0.899346,,,True,True,True,True,True,True,
8884909_15,8884909,15,2626.43,9855.82,24,50.2814,1,True,True,24.4668,16.5126,42.5054,flare_decay,True,False,True,True,True,True,2.07251,0.931079,,,True,True,True,True,True,True,
8884909_16,8884909,16,2614.01,15998.4,1,21.0323,1,False,True,20.781,64.9309,9.11361,flare_decay,True,True,True,True,True,True,1.04186,0.945061,,,True,False,True,True,,True,
8884909_17,8884909,17,2621.08,16961,4,37.3913,1,True,True,37.3915,286.478,-0.883135,flare_decay,True,True,True,True,True,True,1.5198,0.9732,,,True,True,True,True,True,True,
8884909_18,8884909,18,2626.89,5175.96,8,13.3102,1,True,True,10.1939,44.9361,-6.78938,step,False,True,True,True,True,True,1.70517,1.05487,,,True,True,True,True,True,True,
8884909_19,8884909,19,2621.15,1243.73,24,6.34511,0,True,,,,,,,,,,,,,,,,,,,,,,
10074126_0,10074126,0,2631.47,2982.13,1,4.04683,0,False,,,,,,,,,,,,,,,,,,,,,,
10074126_1,10074126,1,2621.6,1507.54,24,15.62,0,True,,,,,,,,,,,,,,,,,,,,,,
10074126_2,10074126,2,2620.4,1863.95,8,8.44655,1,True,True,8.99237,-6.64308,-7.03104,step,False,True,True,True,True,True,0.706891,0.948445,,,False,True,True,True,,True,
10074126_3,10074126,3,2629.27,12036.1,2,24.1193,1,False,True,22.6098,123.018,15.2928,flare_decay,True,True,True,True,True,True,0.866963,0.967244,,,True,False,True,True,,True,
10074126_4,10074126,4,2627.81,4703.73,8,21.3151,1,True,True,19.8386,45.0395,-10.2102,flare_decay,False,True,True,True,True,True,0.785721,1.03912,,,True,True,True,True,True,True,
10074126_5,10074126,5,2617.55,24154.8,2,48.4042,1,False,True,47.3974,381.331,-31.3769,flare_decay,False,True,True,True,True,True,1.17513,0.923883,,,True,False,True,True,,True,
10074126_6,10074126,6,2635.08,1062.46,4,3.23381,0,True,,,,,,,,,,,,,,,,,,,,,,
10074126_7,10074126,7,2634.73,3595.55,24,37.2545,1,True,True,41.8169,53.734,-9.41725,flare_decay,False,True,True,True,True,True,0.497985,0.86931,,,True,True,True,True,True,True,
10074126_8,10074126,8,2610.77,32164.1,1,43.6476,1,False,True,43.7856,373.812,5.261,flare_decay,True,True,True,True,True,True,0.996342,0.912866,,,True,False,True,True,,True,
10074126_9,10074126,9,2630.9,5801.65,2,11.626,1,False,True,11.9211,14.158,-2.39073,flare_decay,True,True,True,True,True,True,0.836812,1.02911,,,True,False,True,True,,True,
10074126_10,10074126,10,2617.73,5004.8,8,22.6795,1,True,True,22.5198,76.4763,-4.03777,flare_decay,True,True,True,True,True,True,0.911045,0.987931,,,True,True,True,True,True,True,
10074126_11,10074126,11,2617.82,1060.7,24,10.9902,0,True,,,,,,,,,,,,,,,,,,,,,,
10074126_12,10074126,12,2617.67,3681.85,8,16.6844,1,True,True,15.7692,11.9061,-8.23813,flare_decay,False,True,True,True,True,True,1.07735,1.03048,0.436632,0,True,True,True,True,True,True,True
10074126_13,10074126,13,2628.15,3186.21,4,9.69788,1,True,True,8.89545,0.386786,-5.76834,flare_decay,False,True,True,True,True,True,0.787592,1.00205,,,False,True,True,True,,True,
10074126_14,10074126,14,2615.26,5173.1,8,23.4421,1,True,True,21.9578,64.731,1.30854,flare_decay,True,True,True,True,True,True,0.715732,0.76042,,,True,True,True,True,True,True,
10074126_15,10074126,15,2629.48,4422.48,2,8.86227,1,False,True,8.02542,-2.32312,-3.59066,flare_decay,False,True,True,True,True,True,0.603121,0.723377,,,False,True,True,True,,True,
10074126_16,10074126,16,2627.2,6145.72,16,40.4083,1,True,True,39.7494,147.094,5.02362,flare_decay,True,True,True,True,True,True,0.653833,0.944248,,,True,True,True,True,True,True,
10074126_17,10074126,17,2618.62,3855.64,4,11.7354,1,True,True,12.3646,6.34536,-12.1241,flare_decay,False,True,True,True,True,True,0.642003,0.896214,,,False,True,True,True,,True,
10074126_18,10074126,18,2630.8,24187.9,1,32.8237,1,False,True,31.1242,120.167,-17.9409,flare_decay,False,True,True,True,True,True,1.0963,0.883524,,,True,False,True,True,,True,
