snr_bin,n,recovered,n_recovered,vet_1_6,n_fpp,fpp_pass,vet_1_7,pass_shape,pass_duration,pass_edge,pass_pixels,pass_asteroid,pass_catalogue
"(0.0, 7.0]",1073,0.056,60,0.116,7,0.429,0.050,0.300,0.667,0.950,0.883,1.000,1.000
"(7.0, 8.0]",176,0.438,77,0.117,9,0.667,0.078,0.360,0.493,1.000,0.987,,1.000
"(8.0, 9.0]",168,0.631,106,0.207,15,0.800,0.166,0.519,0.443,0.991,0.971,1.000,0.991
"(9.0, 10.0]",136,0.779,106,0.292,15,0.933,0.272,0.538,0.557,0.991,0.953,1.000,1.000
"(10.0, 12.0]",266,0.801,213,0.347,15,1.000,0.347,0.700,0.573,0.986,0.958,1.000,0.995
"(12.0, 15.0]",310,0.919,285,0.493,15,0.867,0.428,0.863,0.632,0.989,0.944,1.000,0.996
"(15.0, 20.0]",376,0.963,362,0.568,15,1.000,0.568,0.964,0.644,0.983,0.947,1.000,0.983
"(20.0, 30.0]",563,0.977,550,0.571,15,0.800,0.457,0.976,0.653,0.982,0.938,0.990,0.993
"(30.0, 50.0]",706,0.980,692,0.582,15,0.733,0.427,0.981,0.645,0.990,0.951,1.000,0.994
"(50.0, 1000000000.0]",226,0.982,222,0.638,15,0.800,0.510,0.991,0.680,0.991,0.968,1.000,1.000
