snr_bin,n,recovered,n_recovered,vet_1_6,n_fpp,fpp_pass,vet_1_7,pass_shape,pass_duration,pass_edge,pass_pixels,pass_asteroid,pass_catalogue
"(0.0, 7.0]",693,0.051,35,0.142,5,0.600,0.085,0.229,0.971,0.914,0.829,,1.000
"(7.0, 8.0]",111,0.315,35,0.228,8,0.750,0.171,0.235,1.000,1.000,0.971,,1.000
"(8.0, 9.0]",97,0.433,42,0.427,13,0.846,0.362,0.476,1.000,0.976,0.929,1.000,1.000
"(9.0, 10.0]",87,0.667,58,0.516,15,0.933,0.482,0.534,0.983,0.983,0.931,1.000,1.000
"(10.0, 12.0]",176,0.699,123,0.600,15,1.000,0.600,0.659,0.984,0.976,0.943,1.000,0.992
"(12.0, 15.0]",203,0.882,179,0.775,15,0.867,0.671,0.838,0.994,0.983,0.910,1.000,0.994
"(15.0, 20.0]",242,0.959,232,0.881,15,1.000,0.881,0.948,1.000,0.974,0.934,1.000,0.987
"(20.0, 30.0]",367,0.978,359,0.875,15,0.800,0.700,0.967,1.000,0.975,0.907,0.990,0.989
"(30.0, 50.0]",441,0.986,435,0.897,15,0.733,0.658,0.970,0.998,0.984,0.928,1.000,0.995
"(50.0, 1000000000.0]",149,0.980,146,0.936,15,0.800,0.749,0.986,1.000,0.986,0.952,1.000,1.000
