level,tic,t0_a,dur_h_a,depth_ppm_a,snr_a,t0_b,dur_h_b,depth_ppm_b,snr_b,depth_ratio,dur_ratio,consistent,dt_d,n_alias_ge10d,phase4_a,phase4_b,new_in_s21,new_in_s48
dips,230068527,1886.39,6,319624,2493.77,2634.26,8,299978,1982.4,0.938534,1.33333,True,747.87,74,,,,
dips,198382838,1874.89,6,163392,1933.52,2628.02,4,192987,1392.24,1.18113,0.666667,True,753.13,75,,,,
dips,198239685,1883.21,6,267459,1435.5,2629.13,6,263575,1456.69,0.985478,1,True,745.92,74,,,,
dips,16220912,1887.96,6,266368,1420,2616.49,6,263953,1142.26,0.990934,1,True,728.53,72,,,,
dips,229404545,1897.41,4,261052,1392.59,2621.09,8,187233,1174.14,0.717225,2,True,723.68,72,,,,
dips,236771723,1881.45,4,320397,1312.93,2619.3,4,316621,1685.89,0.988215,1,True,737.85,73,,,,
dips,453447502,1893.68,4,201979,1148.47,2627.63,4,201002,1038.11,0.995163,1,True,733.95,73,,,,
dips,198211503,1885.89,8,129761,1129.5,2626.12,8,128866,1254.87,0.993103,1,True,740.23,74,,,,
dips,224289812,1876.94,3,290101,1090.33,2627.39,1.5,313144,565.09,1.07943,0.5,True,750.45,75,,,,
dips,233625771,1892.26,3,259709,1075.36,2631.23,6,156669,904.254,0.603248,2,True,738.97,73,,,,
dips,21003480,1878.06,3,402934,1044.77,2615.77,4,340873,1341,0.845977,1.33333,True,737.71,73,,,,
dips,417917895,1871.4,3,127353,920.762,2629.06,2,1160.23,7.22218,0.00911035,0.666667,False,757.66,75,,,,
dips,159241248,1892.12,6,291160,883.09,2630.62,6,286431,730.478,0.983758,1,True,738.5,73,,,,
dips,9339921,1871.23,4,328589,850.515,2634.43,8,337312,1171.15,1.02655,2,True,763.2,76,,,,
dips,142865103,1895.56,6,95539.7,808.063,2634.45,4,87308.3,525.077,0.913843,0.666667,True,738.89,73,,,,
dips,160268302,1875.9,3,303982,805.941,2629.69,4,233750,710.198,0.76896,1.33333,True,753.79,75,,,,
dips,232646332,1874.11,4,211358,767.484,2628.09,3,208985,140.31,0.988773,0.75,True,753.98,75,,,,
dips,230023944,1889.11,8,146971,760.776,2627.37,8,143089,1033.98,0.973587,1,True,738.26,73,,,,
dips,105513126,1875.98,8,130832,744.418,2633.95,4,110888,263.974,0.84756,0.5,True,757.97,75,,,,
dips,160536110,1875.14,3,377571,732.14,2626.95,4,332298,1555.06,0.880094,1.33333,True,751.81,75,,,,
dips,91899590,1872.4,3,271708,723.005,2632.47,2,289703,495.159,1.06623,0.666667,True,760.07,76,,,,
dips,365936982,1879.62,2,206921,693.895,2631.56,2,205704,582.763,0.994119,1,True,751.94,75,,,,
dips,16814540,1879.88,1.5,428501,692.238,2629.56,2,411647,746.123,0.960668,1.33333,True,749.68,74,,,,
dips,402655790,1878.47,3,252449,686.775,2615.3,3,249796,756.805,0.989491,1,True,736.83,73,,,,
dips,125527530,1882.46,3,170269,683.366,2627.54,6,134013,747.528,0.787066,2,True,745.08,74,,,,
dips,376503359,1879.59,1.5,339931,682.144,2634.33,2,306051,643.675,0.900333,1.33333,True,754.74,75,,,,
dips,153950598,1872.08,12,200544,640.417,2632.37,12,198145,683.128,0.988038,1,True,760.29,76,,,,
dips,453446975,1880.5,4,327258,631.845,2635.18,4,319277,385.686,0.975613,1,True,754.68,75,,,,
dips,302728624,1890.48,6,256790,615.176,2610.94,6,255684,810.249,0.995693,1,True,720.46,72,,,,
dips,288525633,1882.35,6,133329,607.063,2613.21,6,133060,508.154,0.997982,1,True,730.86,73,,,,
dips,313274300,1888.62,3,181061,592.764,2633.39,4,161895,769.298,0.894146,1.33333,True,744.77,74,,,,
dips,239198203,1890.98,4,220920,554.308,2628.91,2,43540.5,75.8505,0.197087,0.5,False,737.93,73,,maybe,,True
dips,355817072,1879.87,4,264416,535.313,2631.74,4,289602,362.163,1.09525,1,True,751.87,75,,,,
dips,353894978,1876.12,2,196583,534.135,2621.36,1.5,206492,408.624,1.05041,0.75,True,745.24,74,,,,
dips,233095433,1891.06,4,132575,529.756,2619.39,4,132273,405.884,0.997722,1,True,728.33,72,,,,
dips,236773041,1871.74,4,307288,524.335,2627.13,4,299123,476.86,0.973429,1,True,755.39,75,,,,
dips,233183004,1879.35,3,191607,520.455,2616.54,2,212218,537.981,1.10757,0.666667,True,737.19,73,,,,
dips,160618494,1876.42,1.5,397431,512.348,2613.73,1,105996,304.051,0.266703,0.666667,False,737.31,73,,,,
dips,229670075,1879.45,2,317490,498.763,2631.21,2,311696,415.146,0.981751,1,True,751.76,75,,,,
dips,230065191,1897.54,4,226938,496.12,2618.41,6,29825.7,52.7707,0.131427,1.5,False,720.87,72,,,,
dips,355816924,1872.83,2,439114,495.211,2619.33,4,362491,504.19,0.825505,2,True,746.5,74,,,,
dips,356340346,1894.7,4,335963,469.165,2634.2,1,386302,400.401,1.14983,0.25,False,739.5,73,,,,
dips,309862596,1877.52,2,385078,464.729,2618.42,2,384580,530.272,0.998707,1,True,740.9,74,,,,
dips,258919318,1875.43,3,205618,462.592,2617.81,3,202419,631.82,0.984442,1,True,742.38,74,,,,
dips,1044282,1889.79,4,278210,437.019,2618.74,4,272341,476.532,0.978904,1,True,728.95,72,,,,
dips,377389892,1888.83,3,202925,435.232,2618.37,3,205390,378.569,1.01215,1,True,729.54,72,,,,
dips,362256498,1889.84,4,283767,434.752,2617.52,4,278891,429.377,0.982817,1,True,727.68,72,,,,
dips,272705788,1883.31,2,365247,434.361,2616.23,2,335911,368.526,0.919682,1,True,732.92,73,,,,
dips,16813813,1876.26,1.5,210740,431.854,2630.63,1,212879,228.185,1.01015,0.666667,True,754.37,75,,,,
dips,289570626,1872.25,1.5,347038,428.483,2612.7,2,328527,455.488,0.94666,1.33333,True,740.45,74,,,,
dips,229910234,1873.66,3,167908,421.552,2611.5,2,177658,373.965,1.05807,0.666667,True,737.84,73,,,,
dips,298109871,1872.13,1.5,287239,420.652,2634.35,1.5,293899,315.917,1.02319,1,True,762.22,76,,,,
dips,160297997,1894.42,1.5,480051,419.412,2614.46,1.5,460616,376.843,0.959515,1,True,720.04,72,,,,
dips,237199163,1879.12,2,207688,416.242,2627.79,2,204743,441.926,0.98582,1,True,748.67,74,,,,
dips,441793160,1885.71,1.5,313772,412.973,2634.12,1,320147,235.254,1.02032,0.666667,True,748.41,74,,,,
dips,321600884,1888.66,2,372389,412.007,2633.86,2,366853,471.551,0.985134,1,True,745.2,74,,,,
