order,tic,role,category,rank_phase3,tier,tmag,rstar,t0_btjd,depth_ppm,t14_h,snr,fpp,rp_rj,rp_rj_diluted,ruwe,binarity_flags,n_sectors,n_spoc2min,n_tess-spoc,n_qlp,n_tesscut,n_second_dips,n_failing_dips,p_floor_d,allowed_fraction_logP,joint_periods,confirm,step,reasons,positives,period_summary
1,361977189,candidate,submit,8,B,9.5815,2.93387,1896.9115,1706.8685,19.033912,11.1596,0.0026162459,1.1795012,1.1795012,0.93508196,,4,0,4,0,0,0,0,739.17937,0.25088667,,qlp:nan/nan;tesscut:1.83/29.8,tesscut:+2.41/+2.13;tess-spoc:+0.80/+0.70,,"confirmed in qlp (depth ratio nan, SNR nan)","all P > 739 d allowed (longer than TESS's span around the event); 79 allowed windows below that, e.g. 27.9-27.9, 28.4-28.5, 29.7-29.7, 34.5-34.5, 36.3-36.5 d; duration implies P >= 71 d for a central circular orbit"
2,285082902,candidate,submit,11,A,11.9587,1.14366,1887.4946,2043.1175,15.748673,11.0363,0.0050892102,0.50303832,0.50303832,0.9389016,,2,0,2,0,0,0,0,719.49998,0.38692698,,qlp:nan/nan;tesscut:0.93/10.5,tesscut:+2.76/+0.71;tess-spoc:+3.81/+0.45,,"confirmed in qlp (depth ratio nan, SNR nan)","all P > 719 d allowed (longer than TESS's span around the event); 67 allowed windows below that, e.g. 16.8-16.9, 17.2-17.3, 17.6-17.7, 18.1-18.2, 18.6-18.7 d; duration implies P >= 387 d for a central circular orbit"
3,219116234,candidate,submit,12,A,12.3504,0.851338,1876.2814,2313.2152,24.937764,13.9886,0.0060858955,0.3984442,0.3984442,1.2872477,,28,0,12,12,4,1,0,1708.0082,0.12968019,1695.086;339.017,qlp:0.94/8.7;tesscut:-0.54/-7.0,qlp:+1.73/+1.57;tesscut:+0.32/-0.78;tess-spoc:+0.64/+1.39,,"confirmed in qlp (depth ratio 0.94, SNR 8.7); second transit candidate(s) in sector(s) 83 (partial); periods consistent with all: 1695.09, 339.02 d","all P > 1708 d allowed (longer than TESS's span around the event); 167 allowed windows below that, e.g. 146.7-146.7, 163.0-163.2, 163.6-163.7, 163.9-164.0, 164.3-164.5 d; duration implies P >= 3073 d for a central circular orbit; periods consistent with the second dip(s): 1695.09, 339.02 d"
4,284625888,candidate,submit,15,A,12.3568,0.90136,1887.2187,2607.4183,12.62355,10.4493,0.0083885969,0.44787943,0.44787943,1.0326804,,7,0,7,0,0,0,0,1480.2796,0.29172005,,qlp:1.17/9.8;tesscut:1.09/6.2,qlp:+0.76/+1.10;tesscut:+0.30/+0.38;tess-spoc:+0.11/+0.96,,"confirmed in qlp (depth ratio 1.17, SNR 9.8)","all P > 1480 d allowed (longer than TESS's span around the event); 61 allowed windows below that, e.g. 40.8-40.8, 44.0-44.2, 47.5-47.6, 47.8-48.1, 58.7-59.0 d; duration implies P >= 361 d for a central circular orbit"
5,1044288,candidate,submit,20,A,12.5309,0.661462,1876.1586,4878.8885,4.6014193,7.6274,0.026268484,0.44959639,0.44959639,0.97666395,,2,0,2,0,0,0,0,759.84722,0.39432817,,qlp:nan/nan;tesscut:0.35/3.3,tesscut:+0.63/+0.36;tess-spoc:+1.44/+1.02,,"confirmed in qlp (depth ratio nan, SNR nan)","all P > 760 d allowed (longer than TESS's span around the event); 62 allowed windows below that, e.g. 21.9-22.1, 22.6-22.7, 23.3-23.4, 24.0-24.2, 24.9-25.0 d; duration implies P >= 29 d for a central circular orbit"
6,308015761,candidate,submit,29,A,12.446,1.00269,1892.578,4747.3919,4.6296282,10.2613,0.068753771,0.67228233,0.67228233,0.92019045,,1,0,1,0,0,0,0,22.043108,0.021621622,,qlp:0.42/0.8;tesscut:0.41/4.1,tesscut:+1.24/+0.24;tess-spoc:+0.91/+0.92,,"confirmed in qlp (depth ratio 0.42, SNR 0.8)","all P > 22 d allowed (longer than TESS's span around the event); 1 allowed windows below that, e.g. 21.6-22.0 d; duration implies P >= 15 d for a central circular orbit"
7,21442437,candidate,submit,30,A,11.3205,1.04991,1882.8576,1923.1723,3.7628036,7.62943,0.092623159,0.44804191,0.44804191,0.9845925,,2,1,1,0,0,0,0,724.10914,0.39186311,,qlp:nan/nan;tesscut:1.15/12.5,tesscut:+0.35/+2.06;tess-spoc:+0.99/+1.03,,"confirmed in qlp (depth ratio nan, SNR nan)","all P > 724 d allowed (longer than TESS's span around the event); 73 allowed windows below that, e.g. 15.1-15.2, 15.4-15.5, 15.8-15.9, 16.1-16.2, 16.5-16.6 d; duration implies P >= 8 d for a central circular orbit"
8,288676782,candidate,maybe,1,A,11.0087,1.99241,1877.2613,1425.4639,27.023248,9.71672,-9.9920072e-15,0.73200541,0.73200541,0.80737585,,35,0,34,1,0,0,0,1761.1183,0.10308836,,qlp:1.42/7.7;tesscut:0.71/11.1,qlp:-0.77/+2.33*;tesscut:+1.40/+0.44;tess-spoc:+1.66/+0.66,S1 review notes: centroid offset 0.87 px at 19 sigma,"confirmed in qlp (depth ratio 1.42, SNR 7.7)","all P > 1761 d allowed (longer than TESS's span around the event); 124 allowed windows below that, e.g. 161.1-161.2, 194.1-194.3, 197.7-197.9, 219.9-219.9, 223.0-223.0 d; duration implies P >= 367 d for a central circular orbit"
9,82203007,candidate,maybe,2,A,5.0736,1.59832,1896.9332,1508.3272,17.767819,11.9611,5.4611418e-08,0.60404458,0.60404458,2.4606848,ruwe;gaia_nss;rv_variable,5,5,0,0,0,0,0,1388.7382,0.27306155,,spoc2min:0.32/12.4;qlp:nan/nan;tesscut:1.13/43.7,spoc2min:+0.20/+0.19;tesscut:+1.30/+1.52;tess-spoc:+1.07/+0.89,"S1 review notes: centroid offset 0.80 px at 25 sigma; S2 host binarity: RUWE 2.46 > 1.4; Gaia non-single-star; Gaia RV variable (p=0.0e+00, amp 9.4 km/s)","confirmed in spoc2min (depth ratio 0.32, SNR 12.4)","all P > 1389 d allowed (longer than TESS's span around the event); 91 allowed windows below that, e.g. 28.4-28.4, 39.3-39.3, 41.7-41.8, 43.6-43.7, 46.7-46.8 d; duration implies P >= 358 d for a central circular orbit"
10,24004731,candidate,maybe,4,B,10.2495,1.04498,1896.9448,2340.1831,17.894072,10.0209,4.0758978e-06,0.49191534,0.49191534,5.1271524,ruwe;gaia_nss;rv_variable,3,1,2,0,0,0,0,1470.5476,0.39468142,,spoc2min:1.24/22.7;qlp:2.50/13.1;tesscut:0.38/2.6,spoc2min:+0.81/+1.29;qlp:+0.92/+2.07;tesscut:+1.52/+2.96;tess-spoc:+1.00/+1.65,"S2 host binarity: RUWE 5.13 > 1.4; Gaia non-single-star; Gaia RV variable (p=0.0e+00, amp 11.9 km/s)","confirmed in spoc2min (depth ratio 1.24, SNR 22.7)","all P > 1471 d allowed (longer than TESS's span around the event); 237 allowed windows below that, e.g. 26.8-26.8, 27.0-27.0, 27.0-27.0, 27.9-27.9, 28.0-28.0 d; duration implies P >= 773 d for a central circular orbit"
