key,tic,trial,t0,depth_ppm,duration_h,expected_snr,recovered,plausible,detected,det_snr,dbic_alt,dbic_box,best_alt,shape_strict_box,edge_lc,edge_pixels,centroid,neighbours,pixel_confirm,pixel_snr_ratio,pixel_depth_ratio,fpp_value,nfpp_value,shape,duration,edge,pixels,asteroid,catalogue,fpp
1042983_0,1042983,0,1873.33,2800.38,4,7.54657,1,False,True,7.22609,6.24415,-5.59854,flare_decay,False,True,True,True,True,True,1.07148,0.998737,,,False,False,True,True,,True,
1042983_1,1042983,1,1876.08,2054.66,2,4.14601,0,False,,,,,,,,,,,,,,,,,,,,,,
1042983_2,1042983,2,1876.62,6663,8,27.3115,1,True,True,25.2957,100.023,14.7252,flare_decay,True,True,False,True,True,True,1.08145,1.16276,,,True,True,True,True,,True,
1042983_3,1042983,3,1887,3316.05,16,21.8835,1,True,True,9.30858,-6.91555,-3.20198,step,False,False,True,True,True,True,0.988204,0.946332,,,False,True,True,True,,True,
1042983_4,1042983,4,1873.31,4383.47,4,11.8127,1,False,True,10.9052,12.0537,0.182243,flare_decay,True,True,True,True,True,True,0.839114,0.86809,,,True,True,True,True,True,True,
1042983_5,1042983,5,1883.7,3858.9,1,6.02185,0,False,,,,,,,,,,,,,,,,,,,,,,
1042983_6,1042983,6,1888.54,2246.14,1,3.50513,0,False,,,,,,,,,,,,,,,,,,,,,,
1042983_7,1042983,7,1877.33,5950.67,2,12.0076,1,False,True,11.1972,14.3324,-4.00001,flare_decay,True,True,True,True,True,True,0.636911,0.776752,,,True,False,True,True,,True,
1042983_8,1042983,8,1894.06,1864.13,4,5.02352,0,False,,,,,,,,,,,,,,,,,,,,,,
1042983_9,1042983,9,1881.47,867.252,16,5.72322,0,True,,,,,,,,,,,,,,,,,,,,,,
1042983_10,1042983,10,1897.33,1398.09,4,3.76762,0,False,,,,,,,,,,,,,,,,,,,,,,
1042983_11,1042983,11,1876.08,1106.57,16,7.30252,0,True,,,,,,,,,,,,,,,,,,,,,,
