snr_bin,n,recovered,n_recovered,vet_1_6,n_fpp,fpp_pass,vet_1_7,pass_shape,pass_duration,pass_edge,pass_pixels,pass_asteroid,pass_catalogue
"(0.0, 7.0]",1152,0.038,44,0.249,11,0.727,0.181,0.409,0.545,0.977,0.886,1.000,1.000
"(7.0, 8.0]",166,0.319,53,0.282,15,0.733,0.207,0.566,0.547,0.981,0.868,1.000,1.000
"(8.0, 9.0]",132,0.402,53,0.245,13,0.615,0.151,0.415,0.717,0.981,0.774,1.000,1.000
"(9.0, 10.0]",141,0.532,75,0.452,15,0.667,0.301,0.622,0.676,0.959,0.905,1.000,1.000
"(10.0, 12.0]",233,0.704,164,0.444,15,0.867,0.385,0.748,0.718,0.988,0.877,1.000,0.994
"(12.0, 15.0]",304,0.875,266,0.450,15,0.867,0.390,0.811,0.679,0.970,0.872,1.000,0.996
"(15.0, 20.0]",434,0.959,416,0.607,15,0.800,0.485,0.916,0.749,0.978,0.904,1.000,0.998
"(20.0, 30.0]",529,0.962,509,0.580,15,0.867,0.503,0.941,0.727,0.965,0.876,1.000,1.000
"(30.0, 50.0]",688,0.967,665,0.599,15,0.467,0.279,0.961,0.698,0.961,0.913,0.991,0.995
"(50.0, 1000000000.0]",221,0.982,217,0.653,15,0.533,0.348,0.982,0.774,0.949,0.880,1.000,1.000
