snr_bin,n,recovered,n_recovered,vet_1_6,n_fpp,fpp_pass,vet_1_7,pass_shape,pass_duration,pass_edge,pass_pixels,pass_asteroid,pass_catalogue
"(0.0, 7.0]",726,0.039,28,0.392,11,0.727,0.285,0.500,0.821,1.000,0.929,1.000,1.000
"(7.0, 8.0]",100,0.310,31,0.483,15,0.733,0.354,0.677,0.935,0.968,0.774,1.000,1.000
"(8.0, 9.0]",80,0.425,34,0.323,11,0.636,0.205,0.529,1.000,0.971,0.735,1.000,1.000
"(9.0, 10.0]",89,0.551,49,0.651,13,0.769,0.501,0.750,1.000,0.958,0.917,1.000,1.000
"(10.0, 12.0]",145,0.779,113,0.609,15,0.867,0.528,0.741,1.000,0.991,0.848,1.000,1.000
"(12.0, 15.0]",177,0.881,156,0.703,13,1.000,0.703,0.833,1.000,0.968,0.833,1.000,1.000
"(15.0, 20.0]",286,0.965,276,0.838,12,1.000,0.838,0.938,0.996,0.971,0.880,1.000,1.000
"(20.0, 30.0]",346,0.960,332,0.808,13,1.000,0.808,0.952,1.000,0.952,0.837,1.000,1.000
"(30.0, 50.0]",421,0.976,411,0.857,10,0.700,0.600,0.964,0.995,0.951,0.876,0.990,1.000
"(50.0, 1000000000.0]",154,0.981,151,0.839,14,0.571,0.479,0.974,0.993,0.940,0.854,1.000,1.000
