key,tic,sector,role,phase4,phase5,rank_change,verdict,serious,minor,ap_worst_sigma,gp_depth_ppm,gp_snr,phase3_depth_ppm,phase3_snr,star_class,radius_rsun,teff,distance_pc,radius_source,rp_rj,ruwe,binarity_flags,variability_flags,P_circ_med,frac_P_allowed,e_min_known
s0048_165685135,165685135,48,candidate,submit,submit,,plausible,,evolved,0.46911,2718.7,8.1141,2737.3,16.474,subgiant,1.2048,5778.5,385.8,Gaia FLAME,0.61337,0.85074,,,216.8,,
s0048_237109179,237109179,48,candidate,submit,submit,,plausible,,aperture_marginal;gp_weak;evolved,3.8894,1354.9,6.1958,1374.4,8.6833,subgiant,1.2327,5667.8,216.07,Gaia FLAME,0.4447,0.84456,,,22.486,,
s0048_239198203,239198203,48,candidate,maybe,maybe,,plausible,,star_unverified,0.66418,45828,22.939,45868,75.85,dwarf,0.73734,,217.38,TIC,1.5367,1.1506,,,18.134,,749.05:0.83;374.53:0.74;249.68:0.67;187.26:0.62;149.81:0.57;124.84:0.52;107.01:0.49;93.63:0.45;83.23:0.42;74.91:0.39;68.10:0.36;62.42:0.34;57.62:0.31;53.50:0.29;49.94:0.27;46.82:0.25;44.06:0.23;41.61:0.21;39.42:0.20;37.45:0.18;35.67:0.16;34.05:0.15;32.57:0.13;31.21:0.12;29.96:0.11;28.81:0.09;27.74:0.08;26.75:0.07;25.83:0.06;24.97:0.06;24.16:0.06;23.41:0.05;22.70:0.05;22.03:0.05;21.40:0.06;20.81:0.06;20.25:0.06;19.71:0.06;19.21:0.07;18.73:0.07
s0048_142905733,142905733,48,candidate,maybe,drop,Phase 5 doubtful: gp,doubtful,gp,ruwe,0.99602,1791.1,3.5872,2416.2,18.021,dwarf,0.67715,3862.1,113.55,Gaia FLAME,0.3239,1.7493,ruwe,,13540,,
s0048_459793183,459793183,48,candidate,maybe,maybe,,plausible,,evolved,1.1613,3900,13.516,3931.5,26.881,subgiant,1.617,,,TIC,1.3953,,,,65.054,,
s0048_16222047,16222047,48,candidate,maybe,maybe,,plausible,,gp_weak;evolved,0.62333,1891.6,6.079,1816.2,12.437,subgiant,1.7537,5734.2,446.91,Gaia FLAME,0.72725,0.86481,,,59.496,,
s0048_155873261,155873261,48,candidate,maybe,maybe,,plausible,,evolved,0.069705,7562.7,10.163,5229.4,11.075,subgiant,2.6547,5924.8,361.88,Gaia FLAME,1.8681,0.94011,,,0.85222,,
s0048_154565237,154565237,48,candidate,maybe,maybe,,plausible,,eccentric,0.50019,1231.2,8.313,1214.1,8.4008,dwarf,0.94167,5884.4,168.54,Gaia FLAME,0.31928,0.98273,,,25.704,,707.43:0.81;353.71:0.72;235.81:0.64;117.90:0.49;78.60:0.38;64.31:0.34
s0048_157264264,157264264,48,candidate,maybe,maybe,,plausible,,evolved,0.86041,3566.1,13.706,3547.4,28.797,subgiant,1.8784,5673.8,293.51,Gaia FLAME,1.0887,0.99657,,,4.0477,,
s0048_159540437,159540437,48,candidate,maybe,maybe,,plausible,,gp_weak;evolved;ruwe,1.4847,4292.6,5.0042,4803.5,8.4125,subgiant,1.8504,,685.16,TIC,1.248,2.8355,ruwe,,235.38,,
