name,tic,disposition,period_d,depth_ppm,checks,confidence,evidence,in_lc_sample,sectors
CTOI 102625324.01,102625324,PC,9.17642,12320.6,gaia_orbit;odd_even,high,Gaia NSS SB1 orbit P = 9.176 d; companion 0.32 M_sun (SB1 mass function (sin i = 1)) | odd and even transits differ by 57.0 sigma (1704 vs 13526 ppm),True,"9,10,36,63,99"
CTOI 1030389830.01,1030389830,PC,0.687697,75410,gaia_orbit,high,Gaia eclipsing binary (photometric): P = 0.6877 d,True,65
CTOI 115115136.01,115115136,PC,3.97083,970209,gaia_orbit;odd_even,high,Gaia NSS SB1 orbit P = 3.961 d; companion 0.24 M_sun (SB1 mass function (sin i = 1)) | odd and even transits differ by 32.3 sigma (7202 vs 11185 ppm),True,"1,27,68,105"
CTOI 11799874.01,11799874,PC,4.25811,6177.35,gaia_orbit,high,Gaia NSS SB1 orbit P = 4.258 d; companion 0.14 M_sun (SB1 mass function (sin i = 1)),True,"20,60,73"
CTOI 118389230.01,118389230,PC,3.75747,11489,gaia_orbit;odd_even,high,Gaia NSS SB1 orbit P = 3.758 d; companion 0.16 M_sun (SB1 mass function (sin i = 1)) | odd and even transits differ by 13.0 sigma (9455 vs 5871 ppm),True,"18,58,85"
CTOI 121420805.01,121420805,PC,1.72014,392062,gaia_orbit,high,Gaia eclipsing binary (photometric): P = 1.7169 d,True,"1,28,68"
CTOI 121420805.02,121420805,PC,1.71806,938253,gaia_orbit,high,Gaia eclipsing binary (photometric): P = 1.7169 d,True,"1,28,68"
CTOI 126945917.02,126945917,PC,1.34236,642623,gaia_orbit;odd_even,high,Gaia NSS SB1 orbit P = 1.341 d; companion 0.16 M_sun (SB1 mass function (sin i = 1)); Gaia eclipsing binary (photometric): P = 1.3411 d | odd and even transits differ by 367.1 sigma (81552 vs 131348 ppm),True,"1,27,28,68,95,105"
CTOI 135230723.01,135230723,PC,6.77601,26328,gaia_orbit,high,Gaia NSS SB1 orbit P = 6.779 d; companion 0.16 M_sun (SB1 mass function (sin i = 1)),True,"24,25,51,52,78"
CTOI 136886352.01,136886352,PC,2.72234,4876,gaia_orbit,high,Gaia NSS SB1 orbit P = 2.722 d; companion 0.56 M_sun (SB1 mass function (sin i = 1)),True,"2,29,42,69,70"
CTOI 138854818.01,138854818,PC,5.789,9692,gaia_orbit;odd_even,high,Gaia NSS SB1 orbit P = 5.788 d; companion 0.15 M_sun (SB1 mass function (sin i = 1)) | odd and even transits differ by 10.1 sigma (2638 vs 4704 ppm),True,"6,32,98"
CTOI 138941853.01,138941853,PC,11.5902,9257,gaia_orbit;odd_even,high,Gaia NSS SB1 orbit P = 11.602 d; companion 0.20 M_sun (SB1 mass function (sin i = 1)) | odd and even transits differ by 7.1 sigma (8161 vs -1208 ppm),True,"6,32"
CTOI 140736015.01,140736015,PC,7.3135,22800,gaia_orbit;odd_even,high,Gaia NSS SB2 orbit P = 7.313 d; companion 1.45 M_sun (SB2 mass ratio (K1/K2)) | odd and even transits differ by 71.0 sigma (11712 vs 6918 ppm),True,"19,25,26,52,53,59,60,73,79"
CTOI 141268467.01,141268467,PC,4.18056,555471,gaia_orbit,high,Gaia NSS SB2 orbit P = 4.181 d; companion 1.17 M_sun (SB2 mass ratio (K1/K2)),True,"1,2,4,5,6,7,8,9,10,11,12,27,28,29,30,31,32,34,35,36,37,38,39,61,62,64,65,66,67,68,69,87,88,89,90,93,94,95,96,97"
CTOI 141268467.02,141268467,PC,4.175,537411,gaia_orbit,high,Gaia NSS SB2 orbit P = 4.181 d; companion 1.17 M_sun (SB2 mass ratio (K1/K2)),True,"1,2,4,5,6,7,8,9,10,11,12,27,28,29,31,32,34,35,36,37,38,39,61,62,64,65,66,67,68,69,87,88,89,90,93,94,95,96,97"
CTOI 144462697.01,144462697,PC,1.23333,580757,gaia_orbit,high,Gaia eclipsing binary (photometric): P = 1.2340 d,True,"1,68"
CTOI 144462697.02,144462697,PC,1.23542,915975,gaia_orbit,high,Gaia eclipsing binary (photometric): P = 1.2340 d,True,"1,68"
CTOI 152223725.01,152223725,PC,4.43194,106080,gaia_orbit,high,Gaia eclipsing binary (photometric): P = 4.4365 d,True,"1,27"
CTOI 152223725.02,152223725,PC,4.44028,547074,gaia_orbit,high,Gaia eclipsing binary (photometric): P = 4.4365 d,True,"1,27"
CTOI 153734545.01,153734545,PC,3.2196,34969,gaia_orbit,high,Gaia NSS SB2 orbit P = 6.438 d (transit period = half Gaia's); companion 1.69 M_sun (SB2 mass ratio (K1/K2)),True,"7,8,34"
CTOI 153735144.01,153735144,PC,3.7785,31684,gaia_orbit,high,Gaia NSS SB1 orbit P = 3.779 d; companion 0.29 M_sun (SB1 mass function (sin i = 1)),True,8
CTOI 155916287.01,155916287,PC,6.05313,27696,gaia_orbit,high,Gaia NSS SB1 orbit P = 6.053 d; companion 0.71 M_sun (SB1 mass function (sin i = 1)),True,"16,23,24,50,51,77"
CTOI 167005326.01,167005326,PC,0.7204,60000,gaia_orbit;centroid,high,Gaia eclipsing binary (photometric): P = 0.7204 d | the star's image shifts during transit (15.6 sigma; the dimming source would be ~4131 arcsec away),True,"1,2,3,4,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,36,37,38,39,62,63,64,65,66,67,68,69,87,89,90,93,94,95,96"
CTOI 176871438.01,176871438,PC,15.1383,9306.94,gaia_orbit;centroid,high,Gaia NSS SB1 orbit P = 15.135 d; companion 0.22 M_sun (SB1 mass function (sin i = 1)) | the star's image shifts during transit (15.0 sigma; the dimming source would be ~2194 arcsec away),True,"1,3,4,5,6,7,8,9,10,11,13,27,28,29,30,31,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69,87,88,89,90,93,94,95,96,97,98"
CTOI 190736332.01,190736332,PC,2.46278,33470,gaia_orbit,high,Gaia NSS SB1 orbit P = 2.463 d; companion 0.19 M_sun (SB1 mass function (sin i = 1)),True,"15,16,56"
